Sentence_Index,Token,Pos,Explained_Tag,Tag,iob_Tag,Entity_Type
0,3/18/22,NUM,cardinal number,CD,B,CARDINAL
0,",",PUNCT,"punctuation mark, comma",",",O,
0,12:53,NUM,cardinal number,CD,B,TIME
0,AM,NOUN,"noun, singular or mass",NN,I,TIME
0, ,SPACE,whitespace,_SP,O,
0,Region,PROPN,"noun, proper singular",NNP,O,
0,’s,PART,possessive ending,POS,O,
0,leaders,NOUN,"noun, plural",NNS,O,
0,discuss,VERB,"verb, non-3rd person singular present",VBP,O,
0,need,NOUN,"noun, singular or mass",NN,O,
0,to,PART,"infinitival ""to""",TO,O,
0,protect,VERB,"verb, base form",VB,O,
0,health,NOUN,"noun, singular or mass",NN,O,
0,in,ADP,"conjunction, subordinating or preposition",IN,O,
0,relation,NOUN,"noun, singular or mass",NN,O,
0,to,PART,"infinitival ""to""",TO,O,
0,climate,VERB,"verb, base form",VB,O,
0,change,NOUN,"noun, singular or mass",NN,O,
0,and,CCONJ,"conjunction, coordinating",CC,O,
0,the,DET,determiner,DT,O,
0,environment,NOUN,"noun, singular or mass",NN,O,
0, ,SPACE,whitespace,_SP,O,
0,Western,PROPN,"noun, proper singular",NNP,O,
0,Pacific,PROPN,"noun, proper singular",NNP,O,
0, ,SPACE,whitespace,_SP,O,
0,Region,PROPN,"noun, proper singular",NNP,O,
0,’s,PART,possessive ending,POS,O,
0,leaders,NOUN,"noun, plural",NNS,O,
0,discuss,VERB,"verb, non-3rd person singular present",VBP,O,
0,need,NOUN,"noun, singular or mass",NN,O,
0,to,PART,"infinitival ""to""",TO,O,
0,protect,VERB,"verb, base form",VB,O,
0,health,NOUN,"noun, singular or mass",NN,O,
0,in,ADP,"conjunction, subordinating or preposition",IN,O,
0,relation,NOUN,"noun, singular or mass",NN,O,
0,to,PART,"infinitival ""to""",TO,O,
0,climate,VERB,"verb, base form",VB,O,
0,change,NOUN,"noun, singular or mass",NN,O,
0,and,CCONJ,"conjunction, coordinating",CC,O,
0,the,DET,determiner,DT,O,
0,environment,NOUN,"noun, singular or mass",NN,O,
0, ,SPACE,whitespace,_SP,O,
0,11,NUM,cardinal number,CD,O,
0,October,PROPN,"noun, proper singular",NNP,O,
0,2019,NUM,cardinal number,CD,O,
0, ,SPACE,whitespace,_SP,O,
0,News,PROPN,"noun, proper singular",NNP,O,
0,release,NOUN,"noun, singular or mass",NN,O,
0, ,SPACE,whitespace,_SP,O,
0,|,NOUN,"noun, singular or mass",NN,O,
0, ,SPACE,whitespace,_SP,O,
0,The,DET,determiner,DT,O,
0,seventieth,ADJ,"adjective (English), other noun-modifier (Chinese)",JJ,B,ORDINAL
0,session,NOUN,"noun, singular or mass",NN,O,
0,of,ADP,"conjunction, subordinating or preposition",IN,O,
0,the,DET,determiner,DT,B,ORG
0,WHO,PRON,"wh-pronoun, personal",WP,I,ORG
0,Regional,PROPN,"noun, proper singular",NNP,I,ORG
0,Committee,PROPN,"noun, proper singular",NNP,I,ORG
0,for,ADP,"conjunction, subordinating or preposition",IN,O,
0,the,DET,determiner,DT,O,
0,Western,PROPN,"noun, proper singular",NNP,O,
0,Pacific,PROPN,"noun, proper singular",NNP,O,
0,concluded,VERB,"verb, past tense",VBD,O,
0,today,NOUN,"noun, singular or mass",NN,B,DATE
0,after,ADP,"conjunction, subordinating or preposition",IN,O,
0,discussions,NOUN,"noun, plural",NNS,O,
0,on,ADP,"conjunction, subordinating or preposition",IN,O,
0,climate,NOUN,"noun, singular or mass",NN,O,
0,change,NOUN,"noun, singular or mass",NN,O,
0,and,CCONJ,"conjunction, coordinating",CC,O,
