Sentence_Index,Token,Pos,Explained_Tag,Tag,iob_Tag,Entity_Type
0,3/27/22,NUM,cardinal number,CD,O,
0,",",PUNCT,"punctuation mark, comma",",",O,
0,9:27,NUM,cardinal number,CD,B,TIME
0,PM,NOUN,"noun, singular or mass",NN,I,TIME
0, ,SPACE,whitespace,_SP,O,
0,Countries,PROPN,"noun, proper plural",NNPS,O,
0,race,NOUN,"noun, singular or mass",NN,O,
0,against,ADP,"conjunction, subordinating or preposition",IN,O,
0,the,DET,determiner,DT,O,
0,clock,NOUN,"noun, singular or mass",NN,O,
0,to,PART,"infinitival ""to""",TO,O,
0,overcome,VERB,"verb, base form",VB,O,
0,antimicrobial,ADJ,"adjective (English), other noun-modifier (Chinese)",JJ,O,
0,resistance,NOUN,"noun, singular or mass",NN,O,
0,(,PUNCT,left round bracket,-LRB-,O,
0,AMR,PROPN,"noun, proper singular",NNP,B,ORG
0,),PUNCT,right round bracket,-RRB-,O,
0, ,SPACE,whitespace,_SP,O,
0,Western,PROPN,"noun, proper singular",NNP,O,
0,Pacific,PROPN,"noun, proper singular",NNP,O,
0, ,SPACE,whitespace,_SP,O,
0,Countries,PROPN,"noun, proper plural",NNPS,O,
0,race,NOUN,"noun, singular or mass",NN,O,
0,against,ADP,"conjunction, subordinating or preposition",IN,O,
0,the,DET,determiner,DT,O,
0,clock,NOUN,"noun, singular or mass",NN,O,
0,to,PART,"infinitival ""to""",TO,O,
0,overcome,VERB,"verb, base form",VB,O,
0,antimicrobial,ADJ,"adjective (English), other noun-modifier (Chinese)",JJ,O,
0,resistance,NOUN,"noun, singular or mass",NN,O,
0,(,PUNCT,left round bracket,-LRB-,O,
0,AMR,PROPN,"noun, proper singular",NNP,B,ORG
0,),PUNCT,right round bracket,-RRB-,O,
0,Joint,ADJ,"adjective (English), other noun-modifier (Chinese)",JJ,O,
0,news,NOUN,"noun, singular or mass",NN,O,
0,release,NOUN,"noun, singular or mass",NN,O,
0,by,ADP,"conjunction, subordinating or preposition",IN,O,
0,FAO,PROPN,"noun, proper singular",NNP,B,ORG
0,",",PUNCT,"punctuation mark, comma",",",O,
0,OIE,PROPN,"noun, proper singular",NNP,B,ORG
0,and,CCONJ,"conjunction, coordinating",CC,O,
0,WHO,PRON,"wh-pronoun, personal",WP,O,
0, ,SPACE,whitespace,_SP,O,
0,14,NUM,cardinal number,CD,O,
0,November,PROPN,"noun, proper singular",NNP,B,DATE
0,2016,NUM,cardinal number,CD,I,DATE
0,  ,SPACE,whitespace,_SP,O,
0,|,NOUN,"noun, singular or mass",NN,O,
0, ,SPACE,whitespace,_SP,O,
0,News,PROPN,"noun, proper singular",NNP,O,
0,release,NOUN,"noun, singular or mass",NN,O,
0, ,SPACE,whitespace,_SP,O,
0,|,NOUN,"noun, singular or mass",NN,O,
0,    ,SPACE,whitespace,_SP,O,
0,Manila,PROPN,"noun, proper singular",NNP,B,GPE
0,",",PUNCT,"punctuation mark, comma",",",O,
0,Philippines,PROPN,"noun, proper singular",NNP,B,GPE
0, ,SPACE,whitespace,_SP,O,
0,Dr,PROPN,"noun, proper singular",NNP,O,
0,Nguyen,PROPN,"noun, proper singular",NNP,B,PERSON
0,Thi,PROPN,"noun, proper singular",NNP,I,PERSON
0,Kim,PROPN,"noun, proper singular",NNP,I,PERSON
0,Tien,PROPN,"noun, proper singular",NNP,I,PERSON
0,",",PUNCT,"punctuation mark, comma",",",O,
0,Minister,PROPN,"noun, proper singular",NNP,O,
0,of,ADP,"conjunction, subordinating or preposition",IN,O,
0,Health,PROPN,"noun, proper singular",NNP,B,GPE
0,",",PUNCT,"punctuation mark, comma",",",O,
0,Viet,PROPN,"noun, proper singular",NNP,B,GPE
0,Nam,PROPN,"noun, proper singular",NNP,I,GPE
0,",",PUNCT,"punctuation mark, comma",",",O,
0,shows,VERB,"verb, 3rd person singular present",VBZ,O,
0,an,DET,determiner,DT,O,
0,online,ADJ,"adjective (English), other noun-modifier (Chinese)",JJ,O,
0,activity,NOUN,"noun, singular or mass",NN,O,
0,done,VERB,"verb, past participle",VBN,O,
0,for,ADP,"conjunction, subordinating or preposition",IN,O,
0,WAAW,PROPN,"noun, proper singular",NNP,O,
0,2015,NUM,cardinal number,CD,B,DATE
0,to,ADP,"conjunction, subordinating or preposition",IN,O,
0,Dr,PROPN,"noun, proper singular",NNP,O,
0,Lokky,PROPN,"noun, proper singular",NNP,B,PERSON
0,Wai,PROPN,"noun, proper singular",NNP,I,PERSON
0,",",PUNCT,"punctuation mark, comma",",",O,
0,WHO,PRON,"wh-pronoun, personal",WP,O,
0,Representative,VERB,"verb, non-3rd person singular present",VBP,O,
0,in,ADP,"conjunction, subordinating or preposition",IN,O,
0,Viet,PROPN,"noun, proper singular",NNP,B,GPE
0,Nam,PROPN,"noun, proper singular",NNP,I,GPE
0,.,PUNCT,"punctuation mark, sentence closer",.,O,
1,"
",SPACE,whitespace,_SP,O,
1,WHO,PRON,"wh-pronoun, personal",WP,O,
1,/,SYM,symbol,SYM,O,
1,Luong,PROPN,"noun, proper singular",NNP,B,PERSON
1,Thai,PROPN,"noun, proper singular",NNP,I,PERSON
1,Linh,PROPN,"noun, proper singular",NNP,I,PERSON
1, ,SPACE,whitespace,_SP,I,PERSON
1,Representatives,PROPN,"noun, proper plural",NNPS,I,PERSON
1,from,ADP,"conjunction, subordinating or preposition",IN,O,
1,countries,NOUN,"noun, plural",NNS,O,
1,in,ADP,"conjunction, subordinating or preposition",IN,O,
1,Asia,PROPN,"noun, proper singular",NNP,B,LOC
1,and,CCONJ,"conjunction, coordinating",CC,O,
1,the,DET,determiner,DT,O,
1,Pacific,PROPN,"noun, proper singular",NNP,B,LOC
1,have,AUX,"verb, non-3rd person singular present",VBP,O,
1,pledged,VERB,"verb, past participle",VBN,O,
1,to,PART,"infinitival ""to""",TO,O,
1,take,VERB,"verb, base form",VB,O,
1,immediate,ADJ,"adjective (English), other noun-modifier (Chinese)",JJ,O,
1,action,NOUN,"noun, singular or mass",NN,O,
1,to,PART,"infinitival ""to""",TO,O,
1,combat,VERB,"verb, base form",VB,O,
1,the,DET,determiner,DT,O,
1,spread,NOUN,"noun, singular or mass",NN,O,
1,of,ADP,"conjunction, subordinating or preposition",IN,O,
1,antimicrobial,ADJ,"adjective (English), other noun-modifier (Chinese)",JJ,O,
1,resistance,NOUN,"noun, singular or mass",NN,O,
1,(,PUNCT,left round bracket,-LRB-,O,
1,AMR,PROPN,"noun, proper singular",NNP,B,ORG
1,),PUNCT,right round bracket,-RRB-,O,
1,.,PUNCT,"punctuation mark, sentence closer",.,O,
2,"
",SPACE,whitespace,_SP,O,
2,https://www.who.int/westernpacific/news/item/14-11-2016-countries-race-against-the-clock-to-overcome-antimicrobial-resistance-(amr,PROPN,"noun, proper singular",NNP,O,
