Sentence_Index,Token,Pos,Explained_Tag,Tag,iob_Tag,Entity_Type
0,3/27/22,NUM,cardinal number,CD,O,
0,",",PUNCT,"punctuation mark, comma",",",O,
0,9:27,NUM,cardinal number,CD,B,TIME
0,PM,NOUN,"noun, singular or mass",NN,I,TIME
0, ,SPACE,whitespace,_SP,O,
0,Malaria,PROPN,"noun, proper singular",NNP,O,
0,prevention,NOUN,"noun, singular or mass",NN,O,
0,works,VERB,"verb, 3rd person singular present",VBZ,O,
0,:,PUNCT,"punctuation mark, colon or ellipsis",:,O,
0,Let,VERB,"verb, base form",VB,O,
0,us,PRON,"pronoun, personal",PRP,O,
0,close,VERB,"verb, base form",VB,O,
0,the,DET,determiner,DT,O,
0,gap,NOUN,"noun, singular or mass",NN,O,
0, ,SPACE,whitespace,_SP,O,
0,Western,PROPN,"noun, proper singular",NNP,O,
0,Pacific,PROPN,"noun, proper singular",NNP,O,
0,Philippines,PROPN,"noun, proper singular",NNP,O,
0, ,SPACE,whitespace,_SP,O,
0,Malaria,PROPN,"noun, proper singular",NNP,O,
0,prevention,NOUN,"noun, singular or mass",NN,O,
0,works,VERB,"verb, 3rd person singular present",VBZ,O,
0,:,PUNCT,"punctuation mark, colon or ellipsis",:,O,
0,Let,VERB,"verb, base form",VB,O,
0,us,PRON,"pronoun, personal",PRP,O,
0,close,VERB,"verb, base form",VB,O,
0,the,DET,determiner,DT,O,
0,gap,NOUN,"noun, singular or mass",NN,O,
0, ,SPACE,whitespace,_SP,O,
0,25,NUM,cardinal number,CD,O,
0,April,PROPN,"noun, proper singular",NNP,B,DATE
0,2017,NUM,cardinal number,CD,I,DATE
0,  ,SPACE,whitespace,_SP,O,
0,|,NOUN,"noun, singular or mass",NN,O,
0, ,SPACE,whitespace,_SP,O,
0,News,PROPN,"noun, proper singular",NNP,O,
0,release,NOUN,"noun, singular or mass",NN,O,
0, ,SPACE,whitespace,_SP,O,
0,|,NOUN,"noun, singular or mass",NN,O,
0,    ,SPACE,whitespace,_SP,O,
0,Manila,PROPN,"noun, proper singular",NNP,B,GPE
0,",",PUNCT,"punctuation mark, comma",",",O,
0,Philippines,PROPN,"noun, proper singular",NNP,B,GPE
0, ,SPACE,whitespace,_SP,O,
0,Today,PROPN,"noun, proper singular",NNP,B,DATE
0,is,AUX,"verb, 3rd person singular present",VBZ,O,
0,April,PROPN,"noun, proper singular",NNP,B,DATE
0,25,NUM,cardinal number,CD,I,DATE
0,.,PUNCT,"punctuation mark, sentence closer",.,O,
1,"
",SPACE,whitespace,_SP,O,
1,It,PRON,"pronoun, personal",PRP,O,
1,is,AUX,"verb, 3rd person singular present",VBZ,O,
1,the,DET,determiner,DT,O,
1,date,NOUN,"noun, singular or mass",NN,O,
1,set,VERB,"verb, past participle",VBN,O,
1,by,ADP,"conjunction, subordinating or preposition",IN,O,
1,the,DET,determiner,DT,O,
1,WHO,PRON,"wh-pronoun, personal",WP,O,
1,to,PART,"infinitival ""to""",TO,O,
1,commemorate,VERB,"verb, base form",VB,O,
1,malaria,NOUN,"noun, singular or mass",NN,O,
1,work,NOUN,"noun, singular or mass",NN,O,
1,in,ADP,"conjunction, subordinating or preposition",IN,O,
1,the,DET,determiner,DT,O,
1,world,NOUN,"noun, singular or mass",NN,O,
1,.,PUNCT,"punctuation mark, sentence closer",.,O,
2,"
",SPACE,whitespace,_SP,O,
2,The,DET,determiner,DT,O,
2,malaria,NOUN,"noun, singular or mass",NN,O,
2,burden,NOUN,"noun, singular or mass",NN,O,
2,of,ADP,"conjunction, subordinating or preposition",IN,O,
2,the,DET,determiner,DT,O,
2,world,NOUN,"noun, singular or mass",NN,O,
2,has,AUX,"verb, 3rd person singular present",VBZ,O,
2,been,AUX,"verb, past participle",VBN,O,
2,declining,VERB,"verb, gerund or present participle",VBG,O,
2,.,PUNCT,"punctuation mark, sentence closer",.,O,
3,"
",SPACE,whitespace,_SP,O,
3,The,DET,determiner,DT,O,
3,rate,NOUN,"noun, singular or mass",NN,O,
3,of,ADP,"conjunction, subordinating or preposition",IN,O,
3,new,ADJ,"adjective (English), other noun-modifier (Chinese)",JJ,O,
3,malaria,NOUN,"noun, singular or mass",NN,O,
3,cases,NOUN,"noun, plural",NNS,O,
3,in,ADP,"conjunction, subordinating or preposition",IN,O,
3,the,DET,determiner,DT,O,
3,world,NOUN,"noun, singular or mass",NN,O,
3,fell,VERB,"verb, past tense",VBD,O,
3,by,ADP,"conjunction, subordinating or preposition",IN,O,
3,21,NUM,cardinal number,CD,B,PERCENT
3,%,NOUN,"noun, singular or mass",NN,I,PERCENT
3,between,ADP,"conjunction, subordinating or preposition",IN,B,DATE
3,2010,NUM,cardinal number,CD,I,DATE
3,and,CCONJ,"conjunction, coordinating",CC,I,DATE
3,2015,NUM,cardinal number,CD,I,DATE
3,.,PUNCT,"punctuation mark, sentence closer",.,O,
4,"
",SPACE,whitespace,_SP,O,
4,Malaria,PROPN,"noun, proper singular",NNP,O,
4,death,NOUN,"noun, singular or mass",NN,O,
4,rates,NOUN,"noun, plural",NNS,O,
4,fell,VERB,"verb, past tense",VBD,O,
4,by,ADP,"conjunction, subordinating or preposition",IN,O,
4,29,NUM,cardinal number,CD,B,PERCENT
4,%,NOUN,"noun, singular or mass",NN,I,PERCENT
4,in,ADP,"conjunction, subordinating or preposition",IN,O,
4,the,DET,determiner,DT,O,
4,same,ADJ,"adjective (English), other noun-modifier (Chinese)",JJ,O,
4,5,NUM,cardinal number,CD,B,DATE
4,-,PUNCT,"punctuation mark, hyphen",HYPH,I,DATE
4,year,NOUN,"noun, singular or mass",NN,I,DATE
4,period,NOUN,"noun, singular or mass",NN,O,
4,.,PUNCT,"punctuation mark, sentence closer",.,O,
5,"
",SPACE,whitespace,_SP,O,
6,But,CCONJ,"conjunction, coordinating",CC,O,
6,we,PRON,"pronoun, personal",PRP,O,
6,have,VERB,"verb, non-3rd person singular present",VBP,O,
6,a,DET,determiner,DT,O,
6,massive,ADJ,"adjective (English), other noun-modifier (Chinese)",JJ,O,
6,unfinished,ADJ,"adjective (English), other noun-modifier (Chinese)",JJ,O,
6,agenda,NOUN,"noun, singular or mass",NN,O,
6,.,PUNCT,"punctuation mark, sentence closer",.,O,
7,"
",SPACE,whitespace,_SP,O,
7,In,ADP,"conjunction, subordinating or preposition",IN,O,
7,2015,NUM,cardinal number,CD,B,DATE
7,alone,ADV,adverb,RB,O,
7,",",PUNCT,"punctuation mark, comma",",",O,
7,the,DET,determiner,DT,O,
7,world,NOUN,"noun, singular or mass",NN,O,
7,had,VERB,"verb, past tense",VBD,O,
7,an,DET,determiner,DT,B,CARDINAL
7,estimated,VERB,"verb, past participle",VBN,I,CARDINAL
7,212,NUM,cardinal number,CD,I,CARDINAL
7,million,NUM,cardinal number,CD,I,CARDINAL
