Word,Label
3/18/22,CARDINAL
12:51 AM,TIME
October 2021,DATE
Japan,GPE
the final day,DATE
annual,DATE
the World Health Organization,ORG
Western Pacific Region,LOC
2030,CARDINAL
today,DATE
the Western Pacific Regional Framework,EVENT
2021–2030,CARDINAL
the Western Pacific,LOC
2030,CARDINAL
an estimated 1.8 million,CARDINAL
90 000,CARDINAL
TB,GPE
2019,DATE
20%,PERCENT
recent years,DATE
6% and 17%,PERCENT
between 2015 and 2019,DATE
2025,DATE
the End TB Strategy,ORG
75%,PERCENT
TB,GPE
50%,PERCENT
TB,ORG
2015,DATE
zero,CARDINAL
TB,ORG
Takeshi Kasai,PERSON
the Western Pacific,ORG
COVID-19,ORG
the Regional Framework,ORG
2030,DATE
1/3,CARDINAL
3/18/22,PRODUCT
12:51 AM,TIME
year,DATE
the Regional Committee,ORG
today,DATE
seventy-third,CARDINAL
China,GPE
24,CARDINAL
October 2022,DATE
seventy-fourth,CARDINAL
Manila,GPE
Philippines,GPE
2023,DATE
the Regional Committee,ORG
this week,DATE
www.who.int/westernpacific/about/governance/regional- committee/session-72   ,ORG
@WHOWPRO,ORG
Facebook,ORG
Twitter,PERSON
YouTube,ORG
RCM72,MONEY
194,CARDINAL
six,CARDINAL
WHO,ORG
the United Nations,ORG
annually,DATE
WHO,ORG
Last year,DATE
COVID-19,ORG
first,ORDINAL
This year,DATE
the Western Pacific Regional Committee,ORG
first,ORDINAL
Himeji,GPE
Japan,GPE
COVID-19,ORG
the past 21 months,DATE
Regional Committee,ORG
Japan,GPE
Himeji City,GPE
more than 1.9 billion,CARDINAL
37,CARDINAL
Asia,LOC
Australia,GPE
Brunei Darussalam,GPE
Cambodia,GPE
China,GPE
Cook Islands,GPE
Fiji,GPE
France,GPE
French,NORP
Polynesia,PERSON
New Caledonia,GPE
Wallis and Futuna,PERSON
Hong Kong,GPE
China,GPE
Japan,GPE
Kiribati,GPE
Macao,GPE
China,GPE
Malaysia,GPE
the Marshall Islands,GPE
Micronesia,PERSON
Federated States,GPE
Mongolia,GPE
Nauru,GPE
New Zealand,GPE
Niue,GPE
Palau,GPE
Papua New Guinea,GPE
Philippines,GPE
the Republic of Korea,GPE
Samoa,GPE
Singapore,GPE
Solomon Islands,GPE
Tokelau,GPE
Tonga,GPE
Tuvalu,ORG
the United Kingdom of Great Britain,GPE
Northern Ireland,GPE
Pitcairn Islands,GPE
the United States of America,GPE
American Samoa,ORG
Guam,GPE
Vanuatu,ORG
Viet Nam,GPE
2/3,CARDINAL
3/18/22,PRODUCT
12:51 AM,TIME
Japanese,NORP
à mettre,PERSON
dans,NORP
https://www.who.int/westernpacific/news/item/29-10-2021-health-leaders-endorse-action-plan-to-end-tb-in-the-region  3/3,PRODUCT
