Word,Label
9:28 PM,TIME
"488,000",CARDINAL
Basilan,PERSON
Sulu,PERSON
Western Pacific Philippines,ORG
"488,000",CARDINAL
Basilan,PERSON
Sulu,PERSON
January 2020,DATE
Cotobato City,GPE
The World Health Organization,ORG
United Nations Children’s Fund,ORG
the Department of Health,ORG
DOH,ORG
"Basilan, Sulu and Tawi-tawi",ORG
"488,000",CARDINAL
under 10 years old,DATE
BaSulTa,GPE
three,CARDINAL
1,CARDINAL
ten years old,DATE
January 6 to 12,DATE
Zamboanga City,GPE
Mindanao,ORG
"January 20 to February 2, February 17 to March 1",DATE
"March 23 to April 4, 2020",DATE
DOH,ORG
Philippines,GPE
"last September 19, 2019",DATE
first,ORDINAL
2,CARDINAL
Marogong,GPE
Lanao del Sur,PERSON
November 26,DATE
DOH,ORG
1,CARDINAL
Maluso,PERSON
Basilan,PERSON
December 6,DATE
first,ORDINAL
27 years,DATE
Sabah,GPE
Malaysia,GPE
Basilan,PERSON
1/2,CARDINAL
3/27/22,PRODUCT
9:28 PM,TIME
"488,000",CARDINAL
Basilan,PERSON
Sulu,PERSON
Lessons,PRODUCT
Bangsamoro Autonomous Region,GPE
Muslim,NORP
Mindanao,GPE
BARMM,ORG
DOH,ORG
Bangsamoro,ORG
WHO,ORG
DOH,ORG
Dr Rabindra Abeyasinghe,PERSON
Philippines,GPE
BARMM,GPE
Philippines,GPE
Andrew Morris,PERSON
Mindanao Field Office,ORG
DOH,ORG
Ministry of Health BARMM,ORG
UNICEF,ORG
UNICEF,ORG
UNICEF,ORG
DOH,ORG
DOH,ORG
2/2,CARDINAL
