Word,Label
9:27 PM,TIME
April 2017,DATE
Manila,GPE
Philippines,GPE
Today,DATE
April 25,DATE
21%,PERCENT
between 2010 and 2015,DATE
29%,PERCENT
5-year,DATE
2015,DATE
an estimated 212 million,CARDINAL
the same year,DATE
some 429 000,CARDINAL
One,CARDINAL
this day,DATE
WHO,ORG
Philippines,GPE
a few years ago,DATE
years,DATE
2010,DATE
74%,PERCENT
https://www.who.int/philippines/news/detail/25-04-2017-malaria-prevention-works-let-us-close-the-gap,ORG
1/2,CARDINAL
3/27/22,PRODUCT
9:27 PM,TIME
2010,DATE
2014,DATE
2015,DATE
"8,301",CARDINAL
"6,609",CARDINAL
2016,DATE
Palawan,GPE
90.7%,PERCENT
2015,DATE
92.9%,PERCENT
2016,DATE
Only four,CARDINAL
At least one,CARDINAL
92%,PERCENT
92.5%,PERCENT
2015,DATE
About 77%,PERCENT
About 82%,PERCENT
Philippines,GPE
2014,DATE
Philippines,GPE
2030,DATE
2017-2022,DATE
at least 90%,PERCENT
2016,DATE
34,CARDINAL
74,CARDINAL
Philippines,GPE
WHO,ORG
Gundo Weiler,PERSON
Philippines,GPE
Local Government Agencies,ORG
https://www.who.int/philippines/news/detail/25-04-2017-malaria-prevention-works-let-us-close-the-gap,ORG
2/2,CARDINAL
