Word,Label
3/18/22,CARDINAL
12:51 AM,TIME
October 2021,DATE
Japan,GPE
The World Health Organization,ORG
Western Pacific Region’s,ORG
today,DATE
the Western Pacific,LOC
three,CARDINAL
1,CARDINAL
2,CARDINAL
3,CARDINAL
today,DATE
tomorrow,DATE
Framework,ORG
1/4,CARDINAL
3/18/22,PRODUCT
12:51 AM,TIME
As many as 611 million,CARDINAL
the Western Pacific Region,LOC
a third,CARDINAL
today,DATE
the Western Pacific,ORG
Takeshi Kasai,PERSON
between 1975 and 2016,DATE
some 12 million,CARDINAL
An estimated 14%,PERCENT
15–19 years,DATE
nearly 6 million,CARDINAL
13–15- year-olds,DATE
Dr Kasai,PERSON
States,GPE
WHO,ORG
the Regional Framework for Harnessing,ORG
Achieving Health,ORG
the Western Pacific,LOC
today,DATE
Regional,NORP
Framework,ORG
T&CM,ORG
the Western Pacific,LOC
the Western Pacific,ORG
Takeshi Kasai,PERSON
2/4,CARDINAL
3/18/22,PRODUCT
12:51 AM,TIME
the years,DATE
Region,ORG
the Regional Committee,ORG
this week,DATE
www.who.int/westernpacific/about/governance/regional- committee/session-72   ,ORG
@WHOWPRO,ORG
Facebook,ORG
Twitter,PERSON
YouTube,ORG
RCM72,MONEY
194,CARDINAL
six,CARDINAL
WHO,ORG
the United Nations,ORG
annually,DATE
WHO,ORG
Last year,DATE
COVID-19,ORG
first,ORDINAL
This year,DATE
the Western Pacific Regional Committee,ORG
first,ORDINAL
Himeji,GPE
Japan,GPE
COVID-19,ORG
the past 21 months,DATE
Regional Committee,ORG
Japan,GPE
Himeji City,GPE
3/4,CARDINAL
3/18/22,PRODUCT
12:51 AM,TIME
The WHO Western Pacific Region,WORK_OF_ART
more than 1.9 billion,CARDINAL
37,CARDINAL
Asia,LOC
Australia,GPE
Brunei Darussalam,GPE
Cambodia,GPE
China,GPE
Cook Islands,GPE
Fiji,GPE
France,GPE
French,NORP
Polynesia,PERSON
New Caledonia,GPE
Wallis and Futuna,PERSON
Hong Kong,GPE
China,GPE
Japan,GPE
Kiribati,GPE
Macao,GPE
China,GPE
Malaysia,GPE
the Marshall Islands,GPE
Micronesia,PERSON
Federated States,GPE
Mongolia,GPE
Nauru,GPE
New Zealand,GPE
Niue,GPE
Palau,GPE
Papua New Guinea,GPE
Philippines,GPE
the Republic of Korea,GPE
Samoa,GPE
Singapore,GPE
Solomon Islands,GPE
Tokelau,GPE
Tonga,GPE
Tuvalu,ORG
the United Kingdom of Great Britain,GPE
Northern Ireland,GPE
Pitcairn Islands,GPE
the United States of America,GPE
American Samoa,ORG
Guam,GPE
Vanuatu,ORG
Viet Nam,GPE
Tim,PERSON
Liu Tao,PERSON
Hong Kong,GPE
China,GPE
Japanese,NORP
4/4,CARDINAL
