Word,Label
12:52 AM  ,TIME
UN,ORG
UNICEF,ORG
UNESCO,ORG
Philippines,GPE
UNICEF,ORG
UNESCO,ORG
Philippines,GPE
November 2021,DATE
Manila,GPE
UN,ORG
UNICEF,ORG
UNESCO,ORG
the Philippine Government,ORG
the Department of Education,ORG
DepEd,ORG
the Department of Health,ORG
DOH,ORG
DepEd,ORG
1/3,CARDINAL
3/18/22,PRODUCT
12:52 AM  ,TIME
UN,ORG
UNICEF,ORG
UNESCO,ORG
Philippines,GPE
UNICEF,ORG
the Social Weather Stations,ORG
SWS,ORG
Filipino,LANGUAGE
0-17 year-old,DATE
September 2021,DATE
69%,PERCENT
73%,PERCENT
the last 28 days,DATE
UN,ORG
DepEd,ORG
DoH,ORG
Philippines,GPE
UNICEF Philippines,ORG
917 867 8366,MONEY
Philippines,GPE
2064,CARDINAL
2/3,CARDINAL
3/18/22,PRODUCT
12:52 AM  ,TIME
UN,ORG
UNICEF,ORG
UNESCO,ORG
Philippines,GPE
190,CARDINAL
UNICEF,ORG
Philippines,GPE
www.unicef.ph,PERSON
Facebook,ORG
Twitter,PRODUCT
Instagram,ORG
the World Health Organization,ORG
Philippines,GPE
Philippines,GPE
Facebook,ORG
Twitter,PRODUCT
Instagram,ORG
UNESCO,ORG
UNESCO,ORG
"the United Nations Educational, Scientific and Cultural Organization",ORG
Education,ORG
the Sciences and Culture,ORG
UNESCO,ORG
the Sustainable Development Goals,ORG
2030,DATE
the UN General Assembly,ORG
2015,DATE
3/3,CARDINAL
