Word,Label
9:27 PM,TIME
AMR,ORG
AMR,ORG
FAO,ORG
OIE,ORG
November 2016,DATE
Manila,GPE
Philippines,GPE
Nguyen Thi Kim Tien,PERSON
Health,GPE
Viet Nam,GPE
2015,DATE
Lokky Wai,PERSON
Viet Nam,GPE
Luong Thai Linh  Representatives,PERSON
Asia,LOC
Pacific,LOC
AMR,ORG
1/3,CARDINAL
3/27/22,PRODUCT
9:27 PM,TIME
AMR,ORG
the Food and Agriculture Organization of the United Nations,ORG
the World Organisation for Animal Health,ORG
OIE,ORG
the World Health Organization,ORG
AMR,ORG
AMR,ORG
Earlier this year,DATE
the O’Neill Report,ORG
the Government of the United Kingdom of Great Britain,ORG
Northern Ireland,GPE
AMR,ORG
Asia,LOC
up to 5 million,MONEY
annually,DATE
2050,DATE
September,DATE
the United Nations General Assembly,ORG
the United Nations,ORG
This week,DATE
World Antibiotic Awareness Week,ORG
FAO,ORG
OIE,ORG
WHO,ORG
AMR,ORG
FAO,ORG
AMR,ORG
Asia,LOC
Pacific,LOC
AMR,ORG
AMR,ORG
AMR,ORG
FAO,ORG
Juan Lubroth,PERSON
AMR,ORG
2/3,CARDINAL
3/27/22,PRODUCT
9:27 PM,TIME
AMR,ORG
Asia-Pacific,LOC
three,CARDINAL
FAO,ORG
OIE,ORG
WHO,ORG
AMR,ORG
Asia,LOC
Kundhavi Kadiresan,PERSON
FAO Regional Representative,ORG
Asia,LOC
Pacific,LOC
three,CARDINAL
OIE,ORG
Hirofumi Kugita,PERSON
OIE Regional Representative,ORG
Asia,LOC
Pacific,LOC
AMR,ORG
One,CARDINAL
Health,ORG
Shin Young-soo,PERSON
the Western Pacific,ORG
three,CARDINAL
3/3,CARDINAL
