Word,Label
9:51 PM,TIME
€2.3 million,MONEY
Filipinos,NORP
€2.3 million,MONEY
Filipinos,NORP
March 2021,DATE
Health Dr Francisco Duque III,ORG
today,DATE
the European Union’s,ORG
EU,ORG
Philippines,GPE
"H.E.
Luc Véron",ORG
Rabindra Abeyasinghe,PERSON
EU,ORG
Philippines,GPE
Philippine,NORP
EU,ORG
Philippines,GPE
many months,DATE
Philippines,GPE
LGU,ORG
Rabindra Abeyasinghe,PERSON
Philippines,GPE
solidarity,ORG
EU,ORG
Europe,LOC
1/3,CARDINAL
3/27/22,PRODUCT
9:51 PM,TIME
€2.3 million,MONEY
Filipinos,NORP
COVID-19  Filipinos,PERSON
EU,ORG
Philippines,GPE
Luc Véron,PERSON
the European Union,ORG
Philippines,GPE
Eight,CARDINAL
EU,ORG
Philippines,GPE
€ 20.5 million,MONEY
EU,ORG
eight,CARDINAL
South-East Asia,LOC
EU,ORG
€ 20 million,MONEY
€ 2.3 million,MONEY
around 133 million,CARDINAL
Philippines,GPE
eight,CARDINAL
Cambodia,GPE
Indonesia,GPE
Malaysia,GPE
Myanmar,GPE
Philippines,GPE
Thailand,GPE
Viet Nam,GPE
WHO,ORG
the Association of Southeast Asian Nations,ORG
ASEAN,ORG
ASEAN,ORG
EU,ORG
Philippines,GPE
The World Health Organization,ORG
Philippines,GPE
The World Health Organization,ORG
7 April 1948,DATE
United Nations,ORG
three,CARDINAL
more than 7000,CARDINAL
194,CARDINAL
2/3,CARDINAL
3/27/22,PRODUCT
9:51 PM,TIME
€2.3 million,MONEY
Filipinos,NORP
COVID-19  Philippines,PERSON
2017–2022,CARDINAL
Philippines,GPE
the next six years,DATE
the Philippine Health,ORG
2016–2022,DATE
Sustainable Development Goals,ORG
The European Union,ORG
EU,ORG
Philippines,GPE
EU,ORG
Philippines,GPE
Mindanao,GPE
Philippines,GPE
EU,ORG
the Philippine Development Plan,ORG
EU,ORG
Philippine,NORP
Europe,LOC
the COVAX Facility,ORG
Php 130 billion,MONEY
€ 2.2 billion,MONEY
92,CARDINAL
Philippines,GPE
Thelma Gecolea,PERSON
Officer,ORG
EU Delegation,ORG
Philippines,GPE
