Word,Label
3/18/22,CARDINAL
12:51 AM,TIME
the National Vaccination Days  Western Pacific Philippines,ORG
the National Vaccination Days,ORG
December 2021,DATE
The World Health Organization,ORG
Omicron,ORG
18 December 2021,DATE
Omicron,ORG
89,CARDINAL
Philippines,GPE
Omicron,ORG
Omicron,ORG
"Bayanihan, Bakunahan 2",GPE
1/2,CARDINAL
3/18/22,PRODUCT
12:51 AM,TIME
the National Vaccination Days  Data,ORG
six months,DATE
WHO,ORG
WHO,ORG
millions,CARDINAL
Philippines,GPE
Omicron,ORG
Omicron,ORG
2/2,CARDINAL
