Word,Label
3/18/22,PRODUCT
12:50 AM,TIME
DOH,ORG
RITM,PERSON
DOH,ORG
RITM,ORG
Manila,GPE
The Department of Health,ORG
DOH,ORG
the Research Institute for Tropical Medicine,ORG
the World Health Organization,ORG
seven,CARDINAL
Philippines,GPE
P36 million,PRODUCT
Health,ORG
Francisco T. Duque III,PERSON
today,DATE
"January 20, 2022",DATE
DOH,ORG
Japanese,NORP
RITM,PERSON
Ilocos Training and Regional Medical Center,ORG
Jose B. Lingad,PERSON
Western Visayas Medical Center,ORG
Vicente Sotto Medical Center,ORG
Zamboanga Medical Center,ORG
1/2,CARDINAL
3/18/22,PRODUCT
12:50 AM,TIME
DOH,ORG
RITM,PERSON
Cotabato Regional,ORG
Medical Center,ORG
the last decade,DATE
Philippines,GPE
Filipino,LANGUAGE
Health,ORG
Francisco T. Duque III,PERSON
RITM,PERSON
RITM,PERSON
Celia Carlos,PERSON
the coming months,DATE
RITM,PERSON
RITM,PERSON
the year,DATE
DOH,ORG
RITM,PERSON
COVID-19,ORG
Rabindra Abeyasinghe,PERSON
Philippines,GPE
RITM,PERSON
National Reference Laboratory,ORG
JapaneseEncephalitis Virus,ORG
Rubella Virus,PERSON
DOH,ORG
RITM,PERSON
2/2,CARDINAL
