Sentence_Index,Token,Pos,Explained_Tag,Tag,iob_Tag,Entity_Type
0,3/27/22,NUM,cardinal number,CD,O,
0,",",PUNCT,"punctuation mark, comma",",",O,
0,9:27,NUM,cardinal number,CD,B,TIME
0,PM,NOUN,"noun, singular or mass",NN,I,TIME
0, ,SPACE,whitespace,_SP,O,
0,WHO,PRON,"wh-pronoun, personal",WP,O,
0,Regional,PROPN,"noun, proper singular",NNP,O,
0,Committee,PROPN,"noun, proper singular",NNP,O,
0,for,ADP,"conjunction, subordinating or preposition",IN,O,
0,the,DET,determiner,DT,O,
0,Western,PROPN,"noun, proper singular",NNP,O,
0,Pacific,PROPN,"noun, proper singular",NNP,O,
0,notes,NOUN,"noun, plural",NNS,O,
0,progress,VERB,"verb, non-3rd person singular present",VBP,O,
0,on,ADP,"conjunction, subordinating or preposition",IN,O,
0,healthy,ADJ,"adjective (English), other noun-modifier (Chinese)",JJ,O,
0,newborn,ADJ,"adjective (English), other noun-modifier (Chinese)",JJ,O,
0,infants,NOUN,"noun, plural",NNS,O,
0,",",PUNCT,"punctuation mark, comma",",",O,
0,antimicrobial,ADJ,"adjective (English), other noun-modifier (Chinese)",JJ,O,
0,resistance,NOUN,"noun, singular or mass",NN,O,
0,and,CCONJ,"conjunction, coordinating",CC,O,
0,essent,NOUN,"noun, singular or mass",NN,O,
0,…,PUNCT,"punctuation mark, colon or ellipsis",:,O,
0, ,SPACE,whitespace,_SP,O,
0,Western,PROPN,"noun, proper singular",NNP,O,
0,Pacific,PROPN,"noun, proper singular",NNP,O,
0, ,SPACE,whitespace,_SP,O,
0,WHO,PRON,"wh-pronoun, personal",WP,O,
0,Regional,PROPN,"noun, proper singular",NNP,O,
0,Committee,PROPN,"noun, proper singular",NNP,O,
0,for,ADP,"conjunction, subordinating or preposition",IN,O,
0,the,DET,determiner,DT,O,
0,Western,PROPN,"noun, proper singular",NNP,O,
0,Pacific,PROPN,"noun, proper singular",NNP,O,
0,notes,NOUN,"noun, plural",NNS,O,
0,progress,VERB,"verb, non-3rd person singular present",VBP,O,
0,on,ADP,"conjunction, subordinating or preposition",IN,O,
0,healthy,ADJ,"adjective (English), other noun-modifier (Chinese)",JJ,O,
0,newborn,ADJ,"adjective (English), other noun-modifier (Chinese)",JJ,O,
0,infants,NOUN,"noun, plural",NNS,O,
0,",",PUNCT,"punctuation mark, comma",",",O,
0,antimicrobial,ADJ,"adjective (English), other noun-modifier (Chinese)",JJ,O,
0,resistance,NOUN,"noun, singular or mass",NN,O,
0,and,CCONJ,"conjunction, coordinating",CC,O,
0,essential,ADJ,"adjective (English), other noun-modifier (Chinese)",JJ,O,
0,medicines,NOUN,"noun, plural",NNS,O,
0, ,SPACE,whitespace,_SP,O,
0,13,NUM,cardinal number,CD,O,
0,October,PROPN,"noun, proper singular",NNP,B,DATE
0,2016,NUM,cardinal number,CD,I,DATE
0,  ,SPACE,whitespace,_SP,O,
0,|,NOUN,"noun, singular or mass",NN,O,
0, ,SPACE,whitespace,_SP,O,
0,News,PROPN,"noun, proper singular",NNP,O,
0,release,NOUN,"noun, singular or mass",NN,O,
0, ,SPACE,whitespace,_SP,O,
0,|,NOUN,"noun, singular or mass",NN,O,
0,    ,SPACE,whitespace,_SP,O,
0,Manila,PROPN,"noun, proper singular",NNP,B,GPE
0,",",PUNCT,"punctuation mark, comma",",",O,
0,Philippines,PROPN,"noun, proper singular",NNP,B,GPE
0, ,SPACE,whitespace,_SP,O,
0,WHO,PRON,"wh-pronoun, personal",WP,B,ORG
0,/,SYM,symbol,SYM,I,ORG
0,Y.,PROPN,"noun, proper singular",NNP,I,ORG
0,"
",SPACE,whitespace,_SP,I,ORG
0,Shimizu,PROPN,"noun, proper singular",NNP,I,ORG
0, ,SPACE,whitespace,_SP,I,ORG
0,On,ADP,"conjunction, subordinating or preposition",IN,O,
0,the,DET,determiner,DT,B,DATE
0,fourth,ADJ,"adjective (English), other noun-modifier (Chinese)",JJ,I,DATE
0,day,NOUN,"noun, singular or mass",NN,I,DATE
0,of,ADP,"conjunction, subordinating or preposition",IN,O,
0,its,PRON,"pronoun, possessive",PRP$,O,
0,annual,ADJ,"adjective (English), other noun-modifier (Chinese)",JJ,B,DATE
0,meeting,NOUN,"noun, singular or mass",NN,O,
0,",",PUNCT,"punctuation mark, comma",",",O,
0,the,DET,determiner,DT,B,ORG
0,WHO,PRON,"wh-pronoun, personal",WP,I,ORG
0,Regional,PROPN,"noun, proper singular",NNP,I,ORG
0,Committee,PROPN,"noun, proper singular",NNP,I,ORG
0,for,ADP,"conjunction, subordinating or preposition",IN,I,ORG
0,the,DET,determiner,DT,I,ORG
0,Western,PROPN,"noun, proper singular",NNP,I,ORG
0,Pacific,PROPN,"noun, proper singular",NNP,I,ORG
0,updated,VERB,"verb, past participle",VBN,O,
0,participants,NOUN,"noun, plural",NNS,O,
0,on,ADP,"conjunction, subordinating or preposition",IN,O,
0,progress,NOUN,"noun, singular or mass",NN,O,
0,made,VERB,"verb, past participle",VBN,O,
0,in,ADP,"conjunction, subordinating or preposition",IN,O,
0,the,DET,determiner,DT,O,
0,Region,PROPN,"noun, proper singular",NNP,O,
0,with,ADP,"conjunction, subordinating or preposition",IN,O,
0,regard,NOUN,"noun, singular or mass",NN,O,
0,to,ADP,"conjunction, subordinating or preposition",IN,O,
0,reducing,VERB,"verb, gerund or present participle",VBG,O,
0,child,NOUN,"noun, singular or mass",NN,O,
0,deaths,NOUN,"noun, plural",NNS,O,
0,",",PUNCT,"punctuation mark, comma",",",O,
0,preparing,VERB,"verb, gerund or present participle",VBG,O,
0,Member,PROPN,"noun, proper singular",NNP,O,
0,States,PROPN,"noun, proper singular",NNP,O,
0,to,PART,"infinitival ""to""",TO,O,
0,respond,VERB,"verb, base form",VB,O,
0,to,ADP,"conjunction, subordinating or preposition",IN,O,
0,antimicrobial,ADJ,"adjective (English), other noun-modifier (Chinese)",JJ,O,
0,resistance,NOUN,"noun, singular or mass",NN,O,
0,(,PUNCT,left round bracket,-LRB-,O,
0,AMR,PROPN,"noun, proper singular",NNP,B,ORG
0,),PUNCT,right round bracket,-RRB-,O,
0,",",PUNCT,"punctuation mark, comma",",",O,
0,and,CCONJ,"conjunction, coordinating",CC,O,
0,improving,VERB,"verb, gerund or present participle",VBG,O,
0,access,NOUN,"noun, singular or mass",NN,O,
0,to,ADP,"conjunction, subordinating or preposition",IN,O,
0,quality,NOUN,"noun, singular or mass",NN,O,
0,medicines,NOUN,"noun, plural",NNS,O,
0,.,PUNCT,"punctuation mark, sentence closer",.,O,
1,"
",SPACE,whitespace,_SP,O,
1,https://www.who.int/westernpacific/news/item/13-10-2016-who-regional-committee-for-the-western-pacific-notes-progress-on-healthy-newborn-infants-,PROPN,"noun, proper singular",NNP,O,
1,…,SYM,symbol,SYM,O,
