Sentence_Index,Token,Pos,Explained_Tag,Tag,iob_Tag,Entity_Type
0,3/18/22,NUM,cardinal number,CD,O,
0,",",PUNCT,"punctuation mark, comma",",",O,
0,12:52,NUM,cardinal number,CD,B,TIME
0,AM,NOUN,"noun, singular or mass",NN,I,TIME
0, ,SPACE,whitespace,_SP,O,
0,UN,PROPN,"noun, proper singular",NNP,B,ORG
0,agencies,NOUN,"noun, plural",NNS,O,
0,warn,VERB,"verb, non-3rd person singular present",VBP,O,
0,economic,ADJ,"adjective (English), other noun-modifier (Chinese)",JJ,O,
0,impact,NOUN,"noun, singular or mass",NN,O,
0,of,ADP,"conjunction, subordinating or preposition",IN,O,
0,COVID-19,NOUN,"noun, singular or mass",NN,O,
0,and,CCONJ,"conjunction, coordinating",CC,O,
0,worsening,VERB,"verb, gerund or present participle",VBG,O,
0,inequalities,NOUN,"noun, plural",NNS,O,
0,will,AUX,"verb, modal auxiliary",MD,O,
0,fuel,VERB,"verb, base form",VB,O,
0,malnutrition,NOUN,"noun, singular or mass",NN,O,
0,for,ADP,"conjunction, subordinating or preposition",IN,O,
0,billions,NOUN,"noun, plural",NNS,B,CARDINAL
0,in,ADP,"conjunction, subordinating or preposition",IN,O,
0,Asia,PROPN,"noun, proper singular",NNP,B,LOC
0,and,CCONJ,"conjunction, coordinating",CC,O,
0,the,DET,determiner,DT,B,ORG
0,Pacific,PROPN,"noun, proper singular",NNP,I,ORG
0, ,SPACE,whitespace,_SP,I,ORG
0,Western,PROPN,"noun, proper singular",NNP,I,ORG
0,Pacific,PROPN,"noun, proper singular",NNP,I,ORG
0, ,SPACE,whitespace,_SP,I,ORG
0,UN,PROPN,"noun, proper singular",NNP,I,ORG
0,agencies,NOUN,"noun, plural",NNS,O,
0,warn,VERB,"verb, non-3rd person singular present",VBP,O,
0,economic,ADJ,"adjective (English), other noun-modifier (Chinese)",JJ,O,
0,impact,NOUN,"noun, singular or mass",NN,O,
0,of,ADP,"conjunction, subordinating or preposition",IN,O,
0,COVID-19,NOUN,"noun, singular or mass",NN,O,
0,and,CCONJ,"conjunction, coordinating",CC,O,
0,worsening,VERB,"verb, gerund or present participle",VBG,O,
0,inequalities,NOUN,"noun, plural",NNS,O,
0,will,AUX,"verb, modal auxiliary",MD,O,
0,fuel,VERB,"verb, base form",VB,O,
0,malnutrition,NOUN,"noun, singular or mass",NN,O,
0,for,ADP,"conjunction, subordinating or preposition",IN,O,
0,billions,NOUN,"noun, plural",NNS,B,CARDINAL
0,in,ADP,"conjunction, subordinating or preposition",IN,O,
0,Asia,PROPN,"noun, proper singular",NNP,B,LOC
0,and,CCONJ,"conjunction, coordinating",CC,O,
0,the,DET,determiner,DT,B,ORG
0,Pacific,PROPN,"noun, proper singular",NNP,I,ORG
0,Child,PROPN,"noun, proper singular",NNP,I,ORG
0,and,CCONJ,"conjunction, coordinating",CC,O,
0,maternal,ADJ,"adjective (English), other noun-modifier (Chinese)",JJ,O,
0,diets,NOUN,"noun, plural",NNS,O,
0,particularly,ADV,adverb,RB,O,
0,vulnerable,ADJ,"adjective (English), other noun-modifier (Chinese)",JJ,O,
0, ,SPACE,whitespace,_SP,O,
0,|,NOUN,"noun, singular or mass",NN,O,
0, ,SPACE,whitespace,_SP,O,
0,20,NUM,cardinal number,CD,O,
0,January,PROPN,"noun, proper singular",NNP,B,DATE
0,2021,NUM,cardinal number,CD,I,DATE
0, ,SPACE,whitespace,_SP,O,
0,News,PROPN,"noun, proper singular",NNP,O,
0,release,NOUN,"noun, singular or mass",NN,O,
0,20/01/2021,NUM,cardinal number,CD,B,DATE
0,",",PUNCT,"punctuation mark, comma",",",O,
0,Bangkok,PROPN,"noun, proper singular",NNP,B,GPE
0,",",PUNCT,"punctuation mark, comma",",",O,
0,Thailand,PROPN,"noun, proper singular",NNP,B,GPE
0,–,PUNCT,"punctuation mark, colon or ellipsis",:,O,
0,The,DET,determiner,DT,O,
0,economic,ADJ,"adjective (English), other noun-modifier (Chinese)",JJ,O,
0,impact,NOUN,"noun, singular or mass",NN,O,
