Sentence_Index,Token,Pos,Explained_Tag,Tag,iob_Tag,Entity_Type
0,3/18/22,NUM,cardinal number,CD,B,CARDINAL
0,",",PUNCT,"punctuation mark, comma",",",O,
0,12:53,NUM,cardinal number,CD,B,TIME
0,AM,PROPN,"noun, proper singular",NNP,I,TIME
0, ,SPACE,whitespace,_SP,O,
0,Germany,PROPN,"noun, proper singular",NNP,B,GPE
0,supports,VERB,"verb, 3rd person singular present",VBZ,O,
0,the,DET,determiner,DT,O,
0,Philippines,PROPN,"noun, proper plural",NNPS,B,GPE
0,with,ADP,"conjunction, subordinating or preposition",IN,O,
0,first,ADJ,"adjective (English), other noun-modifier (Chinese)",JJ,B,ORDINAL
0,"844,800",NUM,cardinal number,CD,B,CARDINAL
0,COVID-19,NOUN,"noun, singular or mass",NN,O,
0,vaccine,NOUN,"noun, singular or mass",NN,O,
0,doses,NOUN,"noun, plural",NNS,O,
0,via,ADP,"conjunction, subordinating or preposition",IN,O,
0,COVAX,PROPN,"noun, proper singular",NNP,O,
0, ,SPACE,whitespace,_SP,O,
0,Western,PROPN,"noun, proper singular",NNP,O,
0,Pacific,PROPN,"noun, proper singular",NNP,O,
0,Philippines,PROPN,"noun, proper singular",NNP,O,
0, ,SPACE,whitespace,_SP,O,
0,Germany,PROPN,"noun, proper singular",NNP,B,GPE
0,supports,VERB,"verb, 3rd person singular present",VBZ,O,
0,the,DET,determiner,DT,O,
0,Philippines,PROPN,"noun, proper plural",NNPS,B,GPE
0,with,ADP,"conjunction, subordinating or preposition",IN,O,
0,first,ADJ,"adjective (English), other noun-modifier (Chinese)",JJ,B,ORDINAL
0,"844,800",NUM,cardinal number,CD,B,CARDINAL
0,COVID-19,NOUN,"noun, singular or mass",NN,O,
0,vaccine,NOUN,"noun, singular or mass",NN,O,
0,doses,NOUN,"noun, plural",NNS,O,
0,via,ADP,"conjunction, subordinating or preposition",IN,O,
0,COVAX,PROPN,"noun, proper singular",NNP,O,
0, ,SPACE,whitespace,_SP,O,
0,15,NUM,cardinal number,CD,O,
0,October,PROPN,"noun, proper singular",NNP,B,DATE
0,2021,NUM,cardinal number,CD,I,DATE
0,  ,SPACE,whitespace,_SP,O,
0,|,NOUN,"noun, singular or mass",NN,O,
0, ,SPACE,whitespace,_SP,O,
0,News,PROPN,"noun, proper singular",NNP,O,
0,release,NOUN,"noun, singular or mass",NN,O,
0, ,SPACE,whitespace,_SP,O,
0,|,NOUN,"noun, singular or mass",NN,O,
0,    ,SPACE,whitespace,_SP,O,
0,Manila,PROPN,"noun, proper singular",NNP,B,GPE
0, ,SPACE,whitespace,_SP,O,
0,The,DET,determiner,DT,O,
0,Philippines,PROPN,"noun, proper singular",NNP,B,GPE
0,today,NOUN,"noun, singular or mass",NN,B,DATE
0,welcomed,VERB,"verb, past tense",VBD,O,
0,"844,800",NUM,cardinal number,CD,B,CARDINAL
0,AstraZeneca,PROPN,"noun, proper singular",NNP,B,PRODUCT
0,COVID-19,NOUN,"noun, singular or mass",NN,O,
0,vaccine,NOUN,"noun, singular or mass",NN,O,
0,doses,NOUN,"noun, plural",NNS,O,
0,from,ADP,"conjunction, subordinating or preposition",IN,O,
0,the,DET,determiner,DT,B,ORG
0,German,ADJ,"adjective (English), other noun-modifier (Chinese)",JJ,I,ORG
0,Government,PROPN,"noun, proper singular",NNP,I,ORG
0,through,ADP,"conjunction, subordinating or preposition",IN,O,
0,the,DET,determiner,DT,B,ORG
0,COVAX,PROPN,"noun, proper singular",NNP,I,ORG
0,Facility,PROPN,"noun, proper singular",NNP,I,ORG
0,.,PUNCT,"punctuation mark, sentence closer",.,O,
1,"
",SPACE,whitespace,_SP,O,
