Sentence_Index,Token,Pos,Explained_Tag,Tag,iob_Tag,Entity_Type
0,3/18/22,NUM,cardinal number,CD,O,
0,",",PUNCT,"punctuation mark, comma",",",O,
0,12:52,NUM,cardinal number,CD,B,TIME
0,AM,NOUN,"noun, singular or mass",NN,I,TIME
0, ,SPACE,whitespace,_SP,O,
0,Community,PROPN,"noun, proper singular",NNP,O,
0,Innovation,PROPN,"noun, proper singular",NNP,O,
0,to,AUX,"conjunction, subordinating or preposition",IN,O,
0,Support,VERB,"verb, base form",VB,O,
0,Surveillance,NOUN,"noun, singular or mass",NN,O,
0,and,CCONJ,"conjunction, coordinating",CC,O,
0,Contact,PROPN,"noun, proper singular",NNP,B,ORG
0,Tracing,PROPN,"noun, proper singular",NNP,I,ORG
0, ,SPACE,whitespace,_SP,I,ORG
0,Western,PROPN,"noun, proper singular",NNP,I,ORG
0,Pacific,PROPN,"noun, proper singular",NNP,I,ORG
0,Philippines,PROPN,"noun, proper singular",NNP,I,ORG
0, ,SPACE,whitespace,_SP,O,
0,©,PROPN,"noun, proper singular",NNP,O,
0, ,SPACE,whitespace,_SP,O,
0,Community,PROPN,"noun, proper singular",NNP,O,
0,Innovation,PROPN,"noun, proper singular",NNP,O,
0,to,AUX,"conjunction, subordinating or preposition",IN,O,
0,Support,VERB,"verb, base form",VB,O,
0,Surveillance,NOUN,"noun, singular or mass",NN,O,
0,and,CCONJ,"conjunction, coordinating",CC,O,
0,Contact,PROPN,"noun, proper singular",NNP,O,
0,Tracing,VERB,"verb, gerund or present participle",VBG,O,
1,An,DET,determiner,DT,O,
1,offline,ADJ,"adjective (English), other noun-modifier (Chinese)",JJ,O,
1,intervention,NOUN,"noun, singular or mass",NN,O,
1,from,ADP,"conjunction, subordinating or preposition",IN,O,
1,the,DET,determiner,DT,O,
1,CSO,PROPN,"noun, proper singular",NNP,O,
1,Initiative,PROPN,"noun, proper singular",NNP,O,
1,in,ADP,"conjunction, subordinating or preposition",IN,O,
1,the,DET,determiner,DT,O,
1,Philippines,PROPN,"noun, proper singular",NNP,B,GPE
1, ,SPACE,whitespace,_SP,O,
1,10,NUM,cardinal number,CD,O,
1,November,PROPN,"noun, proper singular",NNP,B,DATE
1,2021,NUM,cardinal number,CD,I,DATE
1,  ,SPACE,whitespace,_SP,O,
1,|,NOUN,"noun, singular or mass",NN,O,
1, ,SPACE,whitespace,_SP,O,
1,News,PROPN,"noun, proper singular",NNP,O,
1,release,NOUN,"noun, singular or mass",NN,O,
1, ,SPACE,whitespace,_SP,O,
1,|,NOUN,"noun, singular or mass",NN,O,
1,    ,SPACE,whitespace,_SP,O,
1,Itogon,PROPN,"noun, proper singular",NNP,B,GPE
1,",",PUNCT,"punctuation mark, comma",",",O,
1,Benguet,PROPN,"noun, proper singular",NNP,B,ORG
1, ,SPACE,whitespace,_SP,O,
1,“,PUNCT,opening quotation mark,``,O,
1,This,DET,determiner,DT,O,
1,health,NOUN,"noun, singular or mass",NN,O,
1,tracker,NOUN,"noun, singular or mass",NN,O,
1,has,AUX,"verb, 3rd person singular present",VBZ,O,
1,been,AUX,"verb, past participle",VBN,O,
1,very,ADV,adverb,RB,O,
1,helpful,ADJ,"adjective (English), other noun-modifier (Chinese)",JJ,O,
1,for,SCONJ,"conjunction, subordinating or preposition",IN,O,
1,us,PRON,"pronoun, personal",PRP,O,
1,to,PART,"infinitival ""to""",TO,O,
1,monitor,VERB,"verb, base form",VB,O,
1,our,PRON,"pronoun, possessive",PRP$,O,
1,family,NOUN,"noun, singular or mass",NN,O,
1,members,NOUN,"noun, plural",NNS,O,
1,",",PUNCT,"punctuation mark, comma",",",O,
1,especially,ADV,adverb,RB,O,
1,our,PRON,"pronoun, possessive",PRP$,O,
1,children,NOUN,"noun, plural",NNS,O,
1,",",PUNCT,"punctuation mark, comma",",",O,
1,”,PUNCT,closing quotation mark,'',O,
1,said,VERB,"verb, past tense",VBD,O,
1,Gladys,PROPN,"noun, proper singular",NNP,B,PERSON
1,Gapongli,PROPN,"noun, proper singular",NNP,I,PERSON
