Sentence_Index,Token,Pos,Explained_Tag,Tag,iob_Tag,Entity_Type
0,3/27/22,NUM,cardinal number,CD,O,
0,",",PUNCT,"punctuation mark, comma",",",O,
0,9:27,NUM,cardinal number,CD,B,TIME
0,PM,NOUN,"noun, singular or mass",NN,I,TIME
0, ,SPACE,whitespace,_SP,O,
0,Partnership,PROPN,"noun, proper singular",NNP,O,
0,",",PUNCT,"punctuation mark, comma",",",O,
0,protection,NOUN,"noun, singular or mass",NN,O,
0,",",PUNCT,"punctuation mark, comma",",",O,
0,response,NOUN,"noun, singular or mass",NN,O,
0,and,CCONJ,"conjunction, coordinating",CC,O,
0,empowerment,NOUN,"noun, singular or mass",NN,O,
0,:,PUNCT,"punctuation mark, colon or ellipsis",:,O,
0,rolling,VERB,"verb, gerund or present participle",VBG,O,
0,out,ADP,"adverb, particle",RP,O,
0,essential,ADJ,"adjective (English), other noun-modifier (Chinese)",JJ,O,
0,services,NOUN,"noun, plural",NNS,O,
0,to,PART,"infinitival ""to""",TO,O,
0,end,VERB,"verb, base form",VB,O,
0,gender,NOUN,"noun, singular or mass",NN,O,
0,-,PUNCT,"punctuation mark, hyphen",HYPH,O,
0,based,VERB,"verb, past participle",VBN,O,
0,violence,NOUN,"noun, singular or mass",NN,O,
0,against,ADP,"conjunction, subordinating or preposition",IN,O,
0,women,NOUN,"noun, plural",NNS,O,
0,…,PUNCT,superfluous punctuation,NFP,O,
0, ,SPACE,whitespace,_SP,O,
0,Western,PROPN,"noun, proper singular",NNP,O,
0,Pacific,PROPN,"noun, proper singular",NNP,O,
0, ,SPACE,whitespace,_SP,O,
0,Partnership,PROPN,"noun, proper singular",NNP,O,
0,",",PUNCT,"punctuation mark, comma",",",O,
0,protection,NOUN,"noun, singular or mass",NN,O,
0,",",PUNCT,"punctuation mark, comma",",",O,
0,response,NOUN,"noun, singular or mass",NN,O,
0,and,CCONJ,"conjunction, coordinating",CC,O,
0,empowerment,NOUN,"noun, singular or mass",NN,O,
0,:,PUNCT,"punctuation mark, colon or ellipsis",:,O,
0,rolling,VERB,"verb, gerund or present participle",VBG,O,
0,out,ADP,"adverb, particle",RP,O,
0,essential,ADJ,"adjective (English), other noun-modifier (Chinese)",JJ,O,
0,services,NOUN,"noun, plural",NNS,O,
0,to,PART,"infinitival ""to""",TO,O,
0,end,VERB,"verb, base form",VB,O,
0,gender,NOUN,"noun, singular or mass",NN,O,
0,-,PUNCT,"punctuation mark, hyphen",HYPH,O,
0,based,VERB,"verb, past participle",VBN,O,
0,violence,NOUN,"noun, singular or mass",NN,O,
0,against,ADP,"conjunction, subordinating or preposition",IN,O,
0,women,NOUN,"noun, plural",NNS,O,
0,and,CCONJ,"conjunction, coordinating",CC,O,
0,girls,NOUN,"noun, plural",NNS,O,
0,in,ADP,"conjunction, subordinating or preposition",IN,O,
0,Asia,PROPN,"noun, proper singular",NNP,B,LOC
0,and,CCONJ,"conjunction, coordinating",CC,O,
0,the,DET,determiner,DT,O,
0,Pacific,PROPN,"noun, proper singular",NNP,B,ORG
0,Joint,PROPN,"noun, proper singular",NNP,I,ORG
0,news,NOUN,"noun, singular or mass",NN,O,
0,release,NOUN,"noun, singular or mass",NN,O,
0,by,ADP,"conjunction, subordinating or preposition",IN,O,
0,UNFPA,PROPN,"noun, proper singular",NNP,B,ORG
0,",",PUNCT,"punctuation mark, comma",",",O,
0,UN,PROPN,"noun, proper singular",NNP,B,ORG
0,Women,PROPN,"noun, proper singular",NNP,I,ORG
0,and,CCONJ,"conjunction, coordinating",CC,O,
0,WHO,PRON,"wh-pronoun, personal",WP,O,
0, ,SPACE,whitespace,_SP,O,
0,24,NUM,cardinal number,CD,O,
0,November,PROPN,"noun, proper singular",NNP,B,DATE
0,2016,NUM,cardinal number,CD,I,DATE
0,  ,SPACE,whitespace,_SP,O,
0,|,NOUN,"noun, singular or mass",NN,O,
0, ,SPACE,whitespace,_SP,O,
0,News,PROPN,"noun, proper singular",NNP,O,
0,release,NOUN,"noun, singular or mass",NN,O,
0, ,SPACE,whitespace,_SP,O,
0,|,NOUN,"noun, singular or mass",NN,O,
0,    ,SPACE,whitespace,_SP,O,
0,Bangkok,PROPN,"noun, proper singular",NNP,B,GPE
0,",",PUNCT,"punctuation mark, comma",",",O,
0,Thailand,PROPN,"noun, proper singular",NNP,B,GPE
0, ,SPACE,whitespace,_SP,O,
0,WHO,PRON,"wh-pronoun, personal",WP,O,
0,/,SYM,symbol,SYM,O,
0,Y.,PROPN,"noun, proper singular",NNP,O,
0,"
",SPACE,whitespace,_SP,O,
0,Shimizu,PROPN,"noun, proper singular",NNP,O,
0, ,SPACE,whitespace,_SP,O,
0,https://www.who.int/westernpacific/news/item/24-11-2016-partnership-protection-response-and-empowerment-rolling-out-essential-services-to-end-gen,PROPN,"noun, proper singular",NNP,O,
0,…,SYM,symbol,SYM,O,
0,1/4,NUM,cardinal number,CD,B,CARDINAL
0, ,SPACE,whitespace,_SP,O,
0,3/27/22,NUM,cardinal number,CD,B,PRODUCT
0,",",PUNCT,"punctuation mark, comma",",",O,
0,9:27,NUM,cardinal number,CD,B,TIME
0,PM,NOUN,"noun, singular or mass",NN,I,TIME
0, ,SPACE,whitespace,_SP,O,
0,Partnership,PROPN,"noun, proper singular",NNP,O,
0,",",PUNCT,"punctuation mark, comma",",",O,
0,protection,NOUN,"noun, singular or mass",NN,O,
0,",",PUNCT,"punctuation mark, comma",",",O,
0,response,NOUN,"noun, singular or mass",NN,O,
0,and,CCONJ,"conjunction, coordinating",CC,O,
0,empowerment,NOUN,"noun, singular or mass",NN,O,
0,:,PUNCT,"punctuation mark, colon or ellipsis",:,O,
0,rolling,VERB,"verb, gerund or present participle",VBG,O,
0,out,ADP,"adverb, particle",RP,O,
0,essential,ADJ,"adjective (English), other noun-modifier (Chinese)",JJ,O,
0,services,NOUN,"noun, plural",NNS,O,
0,to,PART,"infinitival ""to""",TO,O,
0,end,VERB,"verb, base form",VB,O,
0,gender,NOUN,"noun, singular or mass",NN,O,
0,-,PUNCT,"punctuation mark, hyphen",HYPH,O,
0,based,VERB,"verb, past participle",VBN,O,
0,violence,NOUN,"noun, singular or mass",NN,O,
0,against,ADP,"conjunction, subordinating or preposition",IN,O,
0,women,NOUN,"noun, plural",NNS,O,
0,…,PUNCT,superfluous punctuation,NFP,O,
0, ,SPACE,whitespace,_SP,O,
0,Governments,NOUN,"noun, plural",NNS,O,
0,",",PUNCT,"punctuation mark, comma",",",O,
0,civil,ADJ,"adjective (English), other noun-modifier (Chinese)",JJ,O,
0,society,NOUN,"noun, singular or mass",NN,O,
0,and,CCONJ,"conjunction, coordinating",CC,O,
0,the,DET,determiner,DT,B,ORG
0,United,PROPN,"noun, proper singular",NNP,I,ORG
0,Nations,PROPN,"noun, proper singular",NNP,I,ORG
