Sentence_Index,Token,Pos,Explained_Tag,Tag,iob_Tag,Entity_Type
0,3/18/22,NUM,cardinal number,CD,B,CARDINAL
0,",",PUNCT,"punctuation mark, comma",",",O,
0,12:53,NUM,cardinal number,CD,B,TIME
0,AM,NOUN,"noun, singular or mass",NN,I,TIME
0, ,SPACE,whitespace,_SP,O,
0,3,NUM,cardinal number,CD,O,
0,M,PROPN,"noun, proper singular",NNP,O,
0,Moderna,PROPN,"noun, proper singular",NNP,O,
0,vaccines,VERB,"verb, 3rd person singular present",VBZ,O,
0,from,ADP,"conjunction, subordinating or preposition",IN,O,
0,US,PROPN,"noun, proper singular",NNP,B,ORG
0,Government,PROPN,"noun, proper singular",NNP,I,ORG
0,arrive,VERB,"verb, non-3rd person singular present",VBP,O,
0,from,ADP,"conjunction, subordinating or preposition",IN,O,
0,COVAX,PROPN,"noun, proper singular",NNP,B,ORG
0,Facility,PROPN,"noun, proper singular",NNP,I,ORG
0, ,SPACE,whitespace,_SP,I,ORG
0,Western,PROPN,"noun, proper singular",NNP,I,ORG
0,Pacific,PROPN,"noun, proper singular",NNP,I,ORG
0,Philippines,PROPN,"noun, proper singular",NNP,I,ORG
0, ,SPACE,whitespace,_SP,O,
0,©,PROPN,"noun, proper singular",NNP,O,
0, ,SPACE,whitespace,_SP,O,
0,3,NUM,cardinal number,CD,O,
0,M,PROPN,"noun, proper singular",NNP,O,
0,Moderna,PROPN,"noun, proper singular",NNP,O,
0,vaccines,VERB,"verb, 3rd person singular present",VBZ,O,
0,from,ADP,"conjunction, subordinating or preposition",IN,O,
0,US,PROPN,"noun, proper singular",NNP,B,ORG
0,Government,PROPN,"noun, proper singular",NNP,I,ORG
0,arrive,VERB,"verb, non-3rd person singular present",VBP,O,
0,from,ADP,"conjunction, subordinating or preposition",IN,O,
0,COVAX,PROPN,"noun, proper singular",NNP,B,ORG
0,Facility,PROPN,"noun, proper singular",NNP,I,ORG
0, ,SPACE,whitespace,_SP,I,ORG
0,3,NUM,cardinal number,CD,I,ORG
0,August,PROPN,"noun, proper singular",NNP,I,ORG
0,2021,NUM,cardinal number,CD,I,ORG
0, ,SPACE,whitespace,_SP,O,
0,Joint,PROPN,"noun, proper singular",NNP,O,
0,News,PROPN,"noun, proper singular",NNP,O,
0,Release,PROPN,"noun, proper singular",NNP,O,
0, ,SPACE,whitespace,_SP,O,
0,|,NOUN,"noun, singular or mass",NN,O,
0, ,SPACE,whitespace,_SP,O,
0,Philippine,ADJ,"adjective (English), other noun-modifier (Chinese)",JJ,B,NORP
0,President,PROPN,"noun, proper singular",NNP,O,
0,Rodrigo,PROPN,"noun, proper singular",NNP,B,PERSON
0,Duterte,PROPN,"noun, proper singular",NNP,I,PERSON
0,welcomed,VERB,"verb, past tense",VBD,O,
0,the,DET,determiner,DT,O,
0,arrival,NOUN,"noun, singular or mass",NN,O,
0,of,ADP,"conjunction, subordinating or preposition",IN,O,
0,3,NUM,cardinal number,CD,B,CARDINAL
0,million,NUM,cardinal number,CD,I,CARDINAL
0,doses,NOUN,"noun, plural",NNS,O,
0,of,ADP,"conjunction, subordinating or preposition",IN,O,
0,the,DET,determiner,DT,O,
0,Moderna,PROPN,"noun, proper singular",NNP,B,GPE
0,COVID-,VERB,"verb, base form",VB,O,
0,19,NUM,cardinal number,CD,B,CARDINAL
0,vaccines,NOUN,"noun, plural",NNS,O,
0,from,ADP,"conjunction, subordinating or preposition",IN,O,
0,the,DET,determiner,DT,B,ORG
0,US,PROPN,"noun, proper singular",NNP,I,ORG
0,Government,PROPN,"noun, proper singular",NNP,I,ORG
0,through,ADP,"conjunction, subordinating or preposition",IN,O,
