Sentence_Index,Token,Pos,Explained_Tag,Tag,iob_Tag,Entity_Type
0,3/27/22,NUM,cardinal number,CD,O,
0,",",PUNCT,"punctuation mark, comma",",",O,
0,9:28,NUM,cardinal number,CD,B,TIME
0,PM,NOUN,"noun, singular or mass",NN,I,TIME
0, ,SPACE,whitespace,_SP,O,
0,Investment,NOUN,"noun, singular or mass",NN,O,
0,in,ADP,"conjunction, subordinating or preposition",IN,O,
0,noncommunicable,ADJ,"adjective (English), other noun-modifier (Chinese)",JJ,O,
0,diseases,NOUN,"noun, plural",NNS,O,
0,prevention,NOUN,"noun, singular or mass",NN,O,
0,and,CCONJ,"conjunction, coordinating",CC,O,
0,control,NOUN,"noun, singular or mass",NN,O,
0,will,AUX,"verb, modal auxiliary",MD,O,
0,save,VERB,"verb, base form",VB,O,
0,lives,NOUN,"noun, plural",NNS,O,
0,and,CCONJ,"conjunction, coordinating",CC,O,
0,contribute,VERB,"verb, base form",VB,O,
0,to,ADP,"conjunction, subordinating or preposition",IN,O,
0,the,DET,determiner,DT,O,
0,Philippines,PROPN,"noun, proper singular",NNP,B,GPE
0,saving,VERB,"verb, gerund or present participle",VBG,O,
0,up,ADP,"adverb, particle",RP,O,
0,to,PART,"infinitival ""to""",TO,O,
0,4.8,NUM,cardinal number,CD,B,CARDINAL
0,…,PUNCT,superfluous punctuation,NFP,O,
0, ,SPACE,whitespace,_SP,O,
0,Western,PROPN,"noun, proper singular",NNP,O,
0,Pacific,PROPN,"noun, proper singular",NNP,O,
0,Philippines,PROPN,"noun, proper singular",NNP,O,
0, ,SPACE,whitespace,_SP,O,
0,Investment,PROPN,"noun, proper singular",NNP,O,
0,in,ADP,"conjunction, subordinating or preposition",IN,O,
0,noncommunicable,ADJ,"adjective (English), other noun-modifier (Chinese)",JJ,O,
0,diseases,NOUN,"noun, plural",NNS,O,
0,prevention,NOUN,"noun, singular or mass",NN,O,
0,and,CCONJ,"conjunction, coordinating",CC,O,
0,control,NOUN,"noun, singular or mass",NN,O,
0,will,AUX,"verb, modal auxiliary",MD,O,
0,save,VERB,"verb, base form",VB,O,
0,lives,NOUN,"noun, plural",NNS,O,
0,and,CCONJ,"conjunction, coordinating",CC,O,
0,contribute,VERB,"verb, base form",VB,O,
0,to,ADP,"conjunction, subordinating or preposition",IN,O,
0,the,DET,determiner,DT,O,
0,Philippines,PROPN,"noun, proper singular",NNP,B,GPE
0,saving,VERB,"verb, gerund or present participle",VBG,O,
0,up,ADP,"adverb, particle",RP,O,
0,to,PART,"infinitival ""to""",TO,O,
0,4.8,NUM,cardinal number,CD,B,PERCENT
0,%,NOUN,"noun, singular or mass",NN,I,PERCENT
0,of,ADP,"conjunction, subordinating or preposition",IN,O,
0,annual,ADJ,"adjective (English), other noun-modifier (Chinese)",JJ,O,
0,GDP,NOUN,"noun, singular or mass",NN,O,
0, ,SPACE,whitespace,_SP,O,
0,29,NUM,cardinal number,CD,O,
0,October,PROPN,"noun, proper singular",NNP,O,
0,2019,NUM,cardinal number,CD,O,
0, ,SPACE,whitespace,_SP,O,
0,Joint,PROPN,"noun, proper singular",NNP,O,
0,News,PROPN,"noun, proper singular",NNP,O,
0,Release,PROPN,"noun, proper singular",NNP,O,
0, ,SPACE,whitespace,_SP,O,
0,|,NOUN,"noun, singular or mass",NN,O,
0, ,SPACE,whitespace,_SP,O,
0,The,DET,determiner,DT,B,ORG
0,Department,PROPN,"noun, proper singular",NNP,I,ORG
0,of,ADP,"conjunction, subordinating or preposition",IN,I,ORG
0,Health,PROPN,"noun, proper singular",NNP,I,ORG
0,(,PUNCT,left round bracket,-LRB-,O,
0,DOH,PROPN,"noun, proper singular",NNP,B,ORG
0,),PUNCT,right round bracket,-RRB-,O,
0,",",PUNCT,"punctuation mark, comma",",",O,
0,World,PROPN,"noun, proper singular",NNP,B,ORG
0,Health,PROPN,"noun, proper singular",NNP,I,ORG
0,Organization,PROPN,"noun, proper singular",NNP,I,ORG
0,(,PUNCT,left round bracket,-LRB-,O,
0,WHO,PRON,"wh-pronoun, personal",WP,O,
0,),PUNCT,right round bracket,-RRB-,O,
0,",",PUNCT,"punctuation mark, comma",",",O,
0,United,PROPN,"noun, proper singular",NNP,B,ORG
0,Nations,PROPN,"noun, proper singular",NNP,I,ORG
0,Development,PROPN,"noun, proper singular",NNP,I,ORG
0,Programme,PROPN,"noun, proper singular",NNP,I,ORG
0,(,PUNCT,left round bracket,-LRB-,O,
0,UNDP,PROPN,"noun, proper singular",NNP,O,
0,),PUNCT,right round bracket,-RRB-,O,
0,and,CCONJ,"conjunction, coordinating",CC,O,
0,the,DET,determiner,DT,B,ORG
0,United,PROPN,"noun, proper singular",NNP,I,ORG
0,Nations,PROPN,"noun, proper singular",NNP,I,ORG
0,Interagency,PROPN,"noun, proper singular",NNP,I,ORG
0,Task,PROPN,"noun, proper singular",NNP,I,ORG
0,Force,PROPN,"noun, proper singular",NNP,I,ORG
0,(,PUNCT,left round bracket,-LRB-,I,ORG
0,UNIATF,PROPN,"noun, proper singular",NNP,I,ORG
0,),PUNCT,right round bracket,-RRB-,O,
0,on,ADP,"conjunction, subordinating or preposition",IN,O,
0,the,DET,determiner,DT,B,ORG
0,Prevention,PROPN,"noun, proper singular",NNP,I,ORG
0,and,CCONJ,"conjunction, coordinating",CC,I,ORG
0,Control,PROPN,"noun, proper singular",NNP,I,ORG
0,of,ADP,"conjunction, subordinating or preposition",IN,I,ORG
0,Noncommunicable,PROPN,"noun, proper singular",NNP,I,ORG
0,Diseases,PROPN,"noun, proper plural",NNPS,I,ORG
0,(,PUNCT,left round bracket,-LRB-,O,
0,NCDs,NOUN,"noun, plural",NNS,O,
0,),PUNCT,right round bracket,-RRB-,O,
0,reveal,VERB,"verb, non-3rd person singular present",VBP,O,
0,that,SCONJ,"conjunction, subordinating or preposition",IN,O,
0,investment,NOUN,"noun, singular or mass",NN,O,
0,in,ADP,"conjunction, subordinating or preposition",IN,O,
0,the,DET,determiner,DT,O,
0,prevention,NOUN,"noun, singular or mass",NN,O,
0,and,CCONJ,"conjunction, coordinating",CC,O,
0,control,NOUN,"noun, singular or mass",NN,O,
0,of,ADP,"conjunction, subordinating or preposition",IN,O,
0,NCDs,NOUN,"noun, plural",NNS,O,
0,could,AUX,"verb, modal auxiliary",MD,O,
0,prevent,VERB,"verb, base form",VB,O,
0,the,DET,determiner,DT,O,
0,premature,ADJ,"adjective (English), other noun-modifier (Chinese)",JJ,O,
0,deaths,NOUN,"noun, plural",NNS,O,
0,of,ADP,"conjunction, subordinating or preposition",IN,O,
0,over,ADP,"conjunction, subordinating or preposition",IN,B,CARDINAL
0,"350,000",NUM,cardinal number,CD,I,CARDINAL
0,people,NOUN,"noun, plural",NNS,O,
0,and,CCONJ,"conjunction, coordinating",CC,O,
