Word,Label
9:27 PM,TIME
October 2016,DATE
Manila,GPE
Philippines,GPE
"WHO/Y.
Shimizu  ",ORG
the fourth day,DATE
annual,DATE
the WHO Regional Committee for the Western Pacific,ORG
AMR,ORG
1/4,CARDINAL
3/27/22,PRODUCT
9:27 PM,TIME
2013,DATE
more than 50%,PERCENT
the Regional Committee,ORG
2013,DATE
the Action Plan for Healthy Newborn Infants,LAW
the Western Pacific Region,LOC
2014–2020,CARDINAL
close to 100%,PERCENT
1,CARDINAL
EENC,ORG
2,CARDINAL
3,CARDINAL
4,CARDINAL
5,CARDINAL
EENC,PERSON
more than 27,CARDINAL
700,CARDINAL
more than 80%,PERCENT
Papua New Guinea,GPE
Solomon Islands,GPE
Cambodia,GPE
Mongolia,GPE
Philippines,GPE
Cambodia,GPE
China,GPE
the Lao People's Democratic Republic,ORG
Papua New Guinea,GPE
Philippines,GPE
Solomon Islands,GPE
Viet Nam,GPE
72%,PERCENT
Nearly half,CARDINAL
first,ORDINAL
four,CARDINAL
five,CARDINAL
the first days,DATE
only 7%,PERCENT
Kangaroo Mother Care,ORG
Cambodia,GPE
27,CARDINAL
18,CARDINAL
1000,CARDINAL
between 2010 and 2014,DATE
Philippines,GPE
16,CARDINAL
13,CARDINAL
1000,CARDINAL
between 2008 and 2013,DATE
2/4,CARDINAL
3/27/22,PRODUCT
9:27 PM,TIME
2014,DATE
the Antimicrobial Resistance: Global Report on,ORG
Surveillance,ORG
the Western Pacific Region,LOC
sixty-fifth,CARDINAL
the Regional Committee,ORG
the Western Pacific,LOC
the Action Agenda for Antimicrobial Resistance,FAC
the Western Pacific Region,LOC
1,CARDINAL
AMR,ORG
2,CARDINAL
AMR,ORG
3,CARDINAL
AMR,ORG
Six,CARDINAL
Australia,GPE
Cambodia,GPE
Fiji,GPE
Japan,GPE
Philippines,GPE
Viet Nam,GPE
AMR,ORG
Six,CARDINAL
AMR,ORG
2015,DATE
the World Health Assembly,ORG
AMR,ORG
May 2017,DATE
2016,DATE
11,CARDINAL
East Asia,LOC
Western Pacific,ORG
the Communiqué of Tokyo Meeting of Health Ministers on Antimicrobial Resistance,ORG
Asia,LOC
AMR,ORG
the United Nations General Assembly,ORG
ASEAN,ORG
first,ORDINAL
World Antibiotic Awareness Week,EVENT
2015,DATE
AMR,ORG
Twenty-one,CARDINAL
Region,LOC
2016,DATE
the Food and Agriculture Organization of the United Nations,ORG
the World Organisation for Animal Health,ORG
OIE,ORG
three,CARDINAL
1,CARDINAL
2,CARDINAL
3,CARDINAL
The Regional Framework for Action,ORG
the Western Pacific,LOC
2011– 2016,DATE
China,GPE
Malaysia,GPE
Viet Nam,GPE
3/4,CARDINAL
3/27/22,PRODUCT
9:27 PM,TIME
Brunei Darussalam,GPE
Cambodia,GPE
China,GPE
Cook Islands,GPE
Fiji,GPE
Kiribati,GPE
the Lao People's Democratic Republic,ORG
the Marshall Islands,GPE
Malaysia,GPE
the Federated States,GPE
Micronesia,GPE
Mongolia,GPE
Nauru,GPE
Palau,GPE
Papua New Guinea,GPE
Philippines,GPE
Samoa,ORG
Solomon Islands,GPE
Tonga,GPE
Tuvalu,ORG
Vanuatu,ORG
Viet Nam,GPE
Cambodia,GPE
China,GPE
Fiji,GPE
Malaysia,GPE
Mongolia,GPE
Papua New Guinea,GPE
Philippines,GPE
Viet Nam,GPE
China,GPE
Viet Nam,GPE
2011,DATE
2015,DATE
the World Health Assembly,ORG
May 2016,DATE
4/4,CARDINAL
