Word,Label
12:52 AM,TIME
Global Trans Fat Elimination,ORG
Philippines,GPE
Global Trans Fat Elimination,ORG
Philippines,GPE
December 2021,DATE
Manila,GPE
The World Health Organization,ORG
the Third Progress Report on Global Trans Fat Elimination,EVENT
7 December 2021,DATE
Philippines,GPE
2021,DATE
Philippines,GPE
one,CARDINAL
only two,CARDINAL
the Administrative Order (AO,ORG
2021-0039,CARDINAL
Francisco T. Duque III,PERSON
the Department of Health,ORG
June 2021,DATE
AO,ORG
DOH,ORG
Lorraine Ho,PERSON
the DOH’s Disease Prevention and Control Bureau,ORG
Health Promotion Bureau,ORG
Congress,ORG
https://www.who.int/philippines/news/detail/10-12-2021-who-launches-third-progress-report-on-global-trans-fat-elimination-features-milestones-in-the-p… 1/2,CARDINAL
3/18/22,PRODUCT
12:52 AM,TIME
Global Trans Fat Elimination,ORG
Philippines,GPE
2023,DATE
3.2 billion,CARDINAL
57,CARDINAL
hundreds of thousands,CARDINAL
2023,DATE
Philippines,GPE
2.64%,PERCENT
Philippines,GPE
Filipino,LANGUAGE
Rabindra Abeyasinghe,PERSON
Philippines,GPE
Philippines,GPE
Atty Mary Grace Anne Rosales-Sto,PERSON
ImagineLaw Inc,ORG
Filipinos,NORP
the Department of Health,ORG
the World Health Organization,ORG
Philippines,GPE
2064,CARDINAL
Rodley Carza,PERSON
Policy and Technology Division,ORG
DOH Health Promotion Bureau,ORG
hpb@doh.gov.ph,ORG
2/2,CARDINAL
