Word,Label
9:51 PM  ,TIME
month-long,DATE
Western Pacific Philippines,ORG
measles- rubella,ORG
February 1,DATE
MR-OPV SIA,ORG
last year,DATE
Mindanao,GPE
Cordillera,GPE
Ilocos,GPE
Cagayan Valley,GPE
MIMAROPA,ORG
Bicol Regions,PERSON
93%,PERCENT
Measles-Rubella,ORG
Vaccine,PERSON
89%,PERCENT
Oral Polio Vaccine,ORG
the Phase II,PRODUCT
"February 1 to 28, 2021",DATE
the Visayas Regions,EVENT
National Capital Region,ORG
Central Luzon,LOC
CALABARZON,ORG
5.1 million,CARDINAL
9-59 months old,DATE
MR,ORG
4.8 million,CARDINAL
0-59 months old,DATE
OPV,ORG
the Department of Health,ORG
DOH,ORG
last 2019,DATE
the Acute Flaccid Paralysis,ORG
1/2,CARDINAL
3/27/22,PRODUCT
9:51 PM  ,TIME
month-long,DATE
DOH,ORG
Philippines,GPE
Rabindra Abeyasinghe,PERSON
DOH,ORG
Philippines,GPE
USAID,ORG
US,GPE
CDC,ORG
second,ORDINAL
the MR-OPV SIA,ORG
UNICEF Philippines,ORG
Oyunsaikhan Dendevnorov,PERSON
Health,ORG
Francisco T. Duque III,PERSON
Health,ORG
2/2,CARDINAL
