Word,Label
9:29 PM,TIME
Bataan,GPE
Pampanga  Western Pacific Philippines,ORG
Bataan,GPE
August 2019,DATE
August,DATE
Bataan,GPE
The Department of Health,ORG
Central Luzon Center for Health Development and World Health Organization,ORG
the Provinces of Bataan,ORG
Pampanga,GPE
Angeles City,GPE
10.4%,PERCENT
Universal Health Care,ORG
Central Luzon,LOC
DOH-CL CHD Regional,ORG
Around 1,CARDINAL
10,CARDINAL
Philippines,GPE
Bataan,PERSON
Albert S. Garcia,PERSON
Provincial Health Office,ORG
1/2,CARDINAL
3/27/22,PRODUCT
9:29 PM,TIME
Bataan,GPE
Pampanga,ORG
millions,CARDINAL
Filipinos,NORP
Philippines,GPE
the Department of Health,ORG
Philippines,GPE
Rajendra Yadav,PERSON
DOH,ORG
Hepatitis,NORP
the Viral Hepatitis B Program,EVENT
The Department of Health,ORG
Philippines,GPE
2/2,CARDINAL
