Word,Label
3/18/22,CARDINAL
12:51 AM,TIME
Traslacion,PRODUCT
Traslacion,PRODUCT
January 2022,DATE
the Department of Health,ORG
the World Health Organization,ORG
the Black Nazarene,ORG
Traslacion,FAC
COVID-19,PERSON
the last 10 days,DATE
97,CARDINAL
last 26 December 2021,DATE
"more than 5,000",CARDINAL
4 January 2022,DATE
DOH,ORG
Omicron,ORG
year,DATE
more than a million,CARDINAL
Quiapo Church,ORG
Manila,GPE
The National Task Force,ORG
Quiapo Church,ORG
7 to 9 January 2022,DATE
the Feast of the Black Nazarene,EVENT
vigil,PERSON
Law,PERSON
3/18/22,PRODUCT
12:51 AM,TIME
Traslacion,PRODUCT
this past holiday season,DATE
Omicron,ORG
these past days,DATE
Health Francisco T. Duque III,ORG
Rabindra Abeyasinghe,PERSON
Philippines,GPE
Omicron,ORG
over 110,CARDINAL
Philippines,GPE
Delta,ORG
DOH,ORG
COVID-19,ORG
Omicron,ORG
2/2,CARDINAL
