Word,Label
3/18/22,CARDINAL
12:53 AM,TIME
Seoul,GPE
The World Health Organization,ORG
the Western Pacific Region,LOC
Seoul,GPE
the Graduate School of Public Health of Seoul National University,ORG
Korean,NORP
Marco Martuzzi,PERSON
the Western Pacific Region,LOC
Every single hour,TIME
400,CARDINAL
millions,CARDINAL
an estimated 250 000,CARDINAL
each year,DATE
2030,DATE
the Western Pacific Region,LOC
Pacific,LOC
1/3,CARDINAL
3/18/22,CARDINAL
12:53 AM,TIME
one,CARDINAL
four,CARDINAL
WHO,ORG
the Western Pacific Region,LOC
the Republic of Korea’s,GPE
Ministry of Environment,ORG
the Seoul Metropolitan Government,ORG
the Asia-Pacific Centre for Environment and Health,LOC
Seoul,GPE
Takeshi Kasai,PERSON
the Western Pacific,ORG
the Republic of Korea,GPE
the Western Pacific Region,LOC
the Republic of Korea,GPE
the City of Seoul,GPE
38,CARDINAL
Seoul,GPE
110,CARDINAL
three,CARDINAL
South-East Asia,LOC
North-East Asia,LOC
5%,PERCENT
2023,DATE
Pacific islands,LOC
10%,PERCENT
2023,DATE
2/3,CARDINAL
3/18/22,PRODUCT
12:53 AM,TIME
the WHO Regional Office for the Western Pacific’s,ORG
the Western Pacific Regional Framework,LOC
Action on Health and Environment,ORG
2016,DATE
the Declarations on Environment and Health of Regional Ministerial Forums,ORG
Jeju,FAC
2010,DATE
Kuala Lumpur,GPE
2013,DATE
Manila,GPE
2016,DATE
37,CARDINAL
Australia,GPE
Brunei Darussalam,GPE
Cambodia,GPE
China,GPE
Cook Islands,GPE
Fiji,GPE
France,GPE
French,NORP
Polynesia,PERSON
New Caledonia,GPE
Hong Kong,GPE
China,GPE
Japan,GPE
Kiribati,GPE
Lao People’s Democratic Republic,ORG
Macao,GPE
China,GPE
Malaysia,GPE
Marshall Islands,GPE
Micronesia,PERSON
Federated States,GPE
Mongolia,GPE
Nauru,GPE
New Zealand,GPE
Niue,GPE
Palau,GPE
Papua New Guinea,GPE
Philippines,GPE
Republic of Korea,GPE
Samoa,GPE
Singapore,GPE
Solomon Islands,GPE
Tokelau,GPE
Tonga,GPE
Tuvalu,ORG
the United Kingdom of Great Britain,GPE
Northern Ireland,GPE
Pitcairn Islands,GPE
the United States of America,GPE
American Samoa,ORG
Guam,GPE
Vanuatu,ORG
Viet Nam,GPE
Programme Management,ORG
Tel +82(0)10-6474-0099,PERSON
