Word,Label
3/18/22,CARDINAL
12:53 AM,TIME
Germany,GPE
Philippines,GPE
first,ORDINAL
"844,800",CARDINAL
Germany,GPE
Philippines,GPE
first,ORDINAL
"844,800",CARDINAL
October 2021,DATE
Manila,GPE
Philippines,GPE
today,DATE
"844,800",CARDINAL
AstraZeneca,PRODUCT
the German Government,ORG
the COVAX Facility,ORG
first,ORDINAL
more than 1.6 million,QUANTITY
Germany,GPE
Europe,LOC
close to €3 billion,MONEY
the COVAX Facility,ORG
at least 1.8 billion,CARDINAL
92,CARDINAL
Philippines,GPE
The European Union,ORG
Europe,LOC
Philippines,GPE
"89,474,100",CARDINAL
more than 24.3 million,CARDINAL
the COVAX Facility,ORG
The Department of Health,ORG
DOH,ORG
the World Health Organization,ORG
UNICEF,ORG
German,NORP
1/4,CARDINAL
3/18/22,PRODUCT
12:53 AM,TIME
Germany,GPE
Philippines,GPE
first,ORDINAL
"844,800",CARDINAL
’ Day,DATE
the Christmas season,DATE
Typhoon season,DATE
Filipinos,NORP
Germany,GPE
Health,ORG
Francisco T. Duque III,PERSON
Duque III,PERSON
the Federal Republic of Germany,GPE
Alexander Schmidt,PERSON
Germany,GPE
Philippines,GPE
Today,DATE
"844,800",CARDINAL
Philippines,GPE
Germany,GPE
Philippines,GPE
Rabindra Abeyasinghe,PERSON
Dr Abeyasinghe,PERSON
Germany,GPE
2/4,CARDINAL
3/18/22,PRODUCT
12:53 AM,TIME
Germany,GPE
Philippines,GPE
first,ORDINAL
"844,800",CARDINAL
Filipino,LANGUAGE
COVID-19,PERSON
UNICEF Philippines,ORG
Ms Oyunsaikhan Dendevnorov,PERSON
WHO,ORG
UNICEF,ORG
one,CARDINAL
COVID-19,ORG
Access,PRODUCT
COVID-19 Tools,PERSON
the Coalition for Epidemic Preparedness Innovations (CEPI,ORG
Gavi,PERSON
the Vaccine Alliance,ORG
the World Health Organization,ORG
the World Bank,ORG
DOH,ORG
Philippines,GPE
Philippines,GPE
Rocel Ann Junio  Communication Officer,PERSON
Philippines,GPE
2064,DATE
3/18/22,CARDINAL
12:53 AM,TIME
Germany,GPE
Philippines,GPE
first,ORDINAL
"844,800",CARDINAL
UNICEF Philippines,ORG
4/4,CARDINAL
