Word,Label
12:52 AM,TIME
UN,ORG
billions,CARDINAL
Asia,LOC
the Pacific  Western Pacific  UN,ORG
billions,CARDINAL
Asia,LOC
the Pacific Child,ORG
January 2021,DATE
20/01/2021,DATE
Bangkok,GPE
Thailand,GPE
nearly two billion,CARDINAL
Asia,LOC
Pacific,LOC
today,DATE
four,CARDINAL
the United Nations,ORG
1.9 billion,CARDINAL
19,CARDINAL
Asia,LOC
Pacific,LOC
1/3,CARDINAL
3/18/22,PRODUCT
12:52 AM,TIME
UN,ORG
billions,CARDINAL
Asia,LOC
Pacific,LOC
More than 350 million,CARDINAL
Asia,LOC
Pacific,LOC
2019,DATE
roughly half,CARDINAL
an estimated 74.5 million,CARDINAL
under 5 years of age,DATE
31.5 million,CARDINAL
Southern Asia,LOC
nearly 56 million,CARDINAL
more than 25 million,CARDINAL
South-Eastern Asia,LOC
Pacific,LOC
an estimated 14.5 million,CARDINAL
under 5,DATE
obese,NORP
Asia,LOC
Pacific,LOC
the first 1000 days,DATE
the age of 2,DATE
first,ORDINAL
6 months,DATE
"the Food, Water and Sanitation, Health, Social Protection",ORG
Education,ORG
2/3,CARDINAL
3/18/22,PRODUCT
12:52 AM,TIME
UN,ORG
billions,CARDINAL
Asia,LOC
Pacific,LOC
At least nine,CARDINAL
Asia,LOC
Pacific,LOC
Asia,LOC
Pacific,LOC
Asia,LOC
Pacific,LOC
COVID-19,ORG
Asia,LOC
the Pacific Regional Overview of Food Security and Nutrition 2020,ORG
the Heart of Improving Nutrition’,ORG
today,DATE
Bangkok,GPE
the Food and Agriculture Organization of the United Nations,ORG
the United Nations Children’s Fund,ORG
the World Food Programme,ORG
the World Health Organization,ORG
https://www.who.int/westernpacific/news/item/20-01-2021-un-agencies-warn-economic-impact-of-covid-19-and-worsening-inequalities-will-fuel-malnutri,PERSON
3/3,CARDINAL
