Word,Label
9:27 PM,TIME
More than one million,CARDINAL
Filipinos,NORP
More than one million,CARDINAL
Filipinos,NORP
March 2017,DATE
Manila,GPE
Philippines,GPE
Maria Teresa,PERSON
Habitan,GPE
Health,ORG
Paulyn Jean Rosell-Ubial,PERSON
Philippine,NORP
Weiler Gundo,PERSON
Jean Tesche,PERSON
the WHO Headquarters Tobacco Control Economics,ORG
The Philippine Department of Health,ORG
DOH,ORG
Monday/March 20,DATE
17 million,CARDINAL
2009,DATE
15.9 million,CARDINAL
2015,DATE
The Tobacco Tax Reform Law of 2012,WORK_OF_ART
1/4,CARDINAL
3/27/22,PRODUCT
9:27 PM,TIME
More than one million,CARDINAL
Filipinos,NORP
close to 20%,PERCENT
one million,CARDINAL
Filipinos,NORP
Philippine,NORP
million,CARDINAL
Filipinos,NORP
Philippine,NORP
2015,DATE
Philippines’ Global Adult Tobacco Survey,EVENT
only 15.9,CARDINAL
Filipino,LANGUAGE
40.3,CARDINAL
5.1 %,PERCENT
close to 50%,PERCENT
Paulyn Jean Rosell-Ubial,PERSON
2015,DATE
3,CARDINAL
4,CARDINAL
Philippines,GPE
Filipinos,NORP
Ubial,PERSON
second,ORDINAL
86.3%,PERCENT
33.6%,PERCENT
second,ORDINAL
Philippines,GPE
the WHO Framework Convention on Tobacco Control,ORG
Article 8 of the Treaty,LAW
Philippines,GPE
Davao City’s,GPE
"87,000",CARDINAL
annual,DATE
Filipinos,NORP
2/4,CARDINAL
3/27/22,PRODUCT
9:27 PM,TIME
More than one million,CARDINAL
Filipinos,NORP
Php 188 billion,PERSON
The Department of Health,ORG
second,ORDINAL
Filipinos,NORP
second,ORDINAL
Ubial,PERSON
2013,DATE
Filipinos,NORP
monthly,DATE
The World Health Organization,ORG
Philippines,GPE
Gundo Weiler,PERSON
Philippine,NORP
Filipinos,NORP
Philippines,GPE
the Western Pacific,LOC
Philippine,NORP
Weiler,PERSON
Philippines,GPE
Asia,LOC
the last several years,DATE
Weiler,PERSON
Philippines,GPE
2009,DATE
Filipinos,NORP
Dr Weiler,PERSON
WHO,ORG
Philippine,NORP
Filipinos,NORP
3/4,CARDINAL
3/27/22,PRODUCT
9:27 PM,TIME
More than one million,CARDINAL
Filipinos,NORP
The Philippine Department of Finance,ORG
DOF,ORG
Congress,ORG
2012,DATE
Ma,PERSON
Teresa Habitan,PERSON
first,ORDINAL
Filipinos,NORP
Ubial,PERSON
Ubial,PERSON
4/4,CARDINAL
