Word,Label
9:28 PM,TIME
7 million Filipinos,QUANTITY
7 million Filipinos,QUANTITY
January 2016,DATE
Manila,GPE
Philippines,GPE
DOH,ORG
Ormoc City,GPE
Filipinos,NORP
2015,DATE
the last five years,DATE
Philippines,GPE
Maria Neira,PERSON
"the WHO Department of Public Health, Environmental and Social Determinants for Health",ORG
2015,DATE
1/2,CARDINAL
3/27/22,PRODUCT
9:28 PM,TIME
7 million Filipinos,QUANTITY
more than 1.5 billion,QUANTITY
161 million,CARDINAL
the Western Pacific Region,LOC
2014,DATE
"about 94,000",CARDINAL
100 million,CARDINAL
Philippines,GPE
Alexander von Hildebrand,PERSON
the Western Pacific Region,LOC
the Sanitation Learning Exchange,ORG
2016,DATE
Quezon City,GPE
the Philippine Government,ORG
Sustainable Development Goals,ORG
WHO,ORG
SDG,ORG
2016,DATE
2/2,CARDINAL
