Word,Label
3/15/22,CARDINAL
10:32 AM,TIME
Western Pacific Philippines,ORG
March 2022,DATE
Rajendra Yadav,PERSON
Sangjun Moon,PERSON
Philippines,GPE
Manila,GPE
Philippines,GPE
11 March 2022,DATE
many months,DATE
Omicron,ORG
January 2022,DATE
at least 70%,PERCENT
2.4 million,CARDINAL
the two years,DATE
Philippines,GPE
COVID-19,ORG
1/3,CARDINAL
3/15/22,PRODUCT
10:32 AM,TIME
Omicron,ORG
the World Health Organization,ORG
Tedros Ghebreyesus,ORG
Omicron,ORG
Delta,LOC
Philippines,GPE
Delta,LOC
Philippines,GPE
the COVAX Facility,ORG
Filipinos,NORP
the National Vaccination Operations Center,ORG
around 2.4 million,CARDINAL
COVID-19,ORG
2/3,CARDINAL
3/15/22,PRODUCT
10:32 AM,TIME
three-fold,CARDINAL
Universal Health Care,ORG
Philippines,GPE
UHC,ORG
UHC,ORG
UHC,ORG
one,CARDINAL
WHO,ORG
Hub for Pandemic and Epidemic Intelligence,WORK_OF_ART
this year,DATE
Philippines,GPE
Rajendra Yadav,PERSON
the Acting WHO Representative,ORG
Philippines,GPE
Sangjun Moon,PERSON
19,CARDINAL
Philippines,GPE
3/3,CARDINAL
