Word,Label
3/18/22,CARDINAL
12:53 AM  ,TIME
Delta,LOC
Philippines,GPE
Delta,LOC
Philippines,GPE
August 2021,DATE
Manila,GPE
Philippines,GPE
one,CARDINAL
nine to 13,CARDINAL
Delta,LOC
daily,DATE
hundreds,CARDINAL
daily,DATE
Philippines,GPE
Delta,LOC
the World Health Organization,ORG
Filipinos,NORP
Rabindra Abeyasinghe,PERSON
Philippines,GPE
Nearly 20 months,DATE
Filipinos,NORP
1/4,CARDINAL
3/18/22,PRODUCT
12:53 AM  ,TIME
Delta,LOC
Philippines,GPE
Delta,LOC
Dr Abeyasinghe,PERSON
Dr Abeyasinghe,PERSON
Delta,LOC
Delta,LOC
Delta,LOC
Philippines,GPE
Enhanced Community Quarantine,ORG
the National Capital Region,ORG
MECQ,GPE
2/4,CARDINAL
3/18/22,PRODUCT
12:53 AM  ,TIME
Delta,LOC
Philippines,GPE
Delta,LOC
Delta,LOC
Philippines,GPE
Dr Abeyasinghe,PERSON
A2,PRODUCT
A3,PRODUCT
WHO,ORG
NCR,ORG
one,CARDINAL
LGU,ORG
Delta,LOC
Vaccines,NORP
100%,PERCENT
ICU,ORG
3/4,CARDINAL
3/18/22,CARDINAL
12:53 AM  ,TIME
Delta,LOC
Philippines,GPE
Philippines,GPE
Dr Abeyasinghe,PERSON
daily,DATE
PhilHealth,ORG
daily,DATE
at least 10 days,DATE
IPC,ORG
Dr Abeyasinghe,PERSON
Philippines,GPE
the World Health Organization,ORG
the Department of Health,ORG
Rocel Ann Junio,PERSON
Communications Officer,PERSON
Philippines,GPE
4/4,CARDINAL
